Student,Gender,PSATM,SATM,ACTM,Rank,Size,GPAadj,PlcmtScore,Recommends,Course,Grade,RecTaken,TooHigh,TooLow,CourseSuccess
625,0,56,56,25,1,420,40,23,R0,210,A,1,0,0,1
628,0,57,,23,1,85,40,21,R0,117,A,1,0,0,1
629,1,,62,27,42,421,38,20,R0,117,A-,1,0,0,1
630,0,53,,27,6,75,38,20,R0,117,B,1,0,0,1
634,1,,64,31,72,462,35,19,R0,114,A,1,0,0,1
636,0,63,68,,96,518,34,18,R0,117,B+,1,0,0,1
638,0,42,,23,38,382,37,18,R0,117,A-,1,0,0,1
641,0,52,,24,72,480,37,17,R0,117,B+,1,0,0,1
643,0,51,58,,51,703,34,17,R0,117,A-,1,0,0,1
645,0,60,,26,215,524,32,16,R0,117,B,1,0,0,1
647,1,55,,22,19,55,35,15,R0,117,B+,1,0,0,1
648,0,56,59,25,47,345,36,15,R0,210,B,1,0,0,1
649,0,,,24,27,216,37,15,R0,117,C,1,0,0,0
650,1,,,24,97,766,35,15,R0,117,C+,1,0,0,0
651,0,,,23,26,140,32,14,R0,117,A-,1,0,0,1
652,1,,62,24,114,422,34,14,R0,210,B,1,0,0,1
654,0,42,,20,46,371,36,13,R0,117,A,1,0,0,1
661,1,,,24,35,90,29,10,R0,114,B,1,0,0,1
662,1,,68,29,230,442,27,10,R0,210,B-,1,0,0,0
663,0,,58,26,26,246,28,10,R0,210,B-,1,0,0,0
670,0,40,,18,50,311,33,8,R0,114,B,1,0,0,1
672,1,44,,18,24,96,35,8,R0,109,C+,1,0,0,0
673,0,40,,21,75,285,32,8,R0,117,B-,1,0,0,0
679,1,51,51,,131,294,30,7,R0,117,C-,1,0,0,0
682,1,,,21,,,31,7,R0,114,B-,1,0,0,0
685,0,,,19,60,267,31,5,R0,210,B-,1,0,0,0
687,0,,51,18,42,387,32,5,R0,117,B+,1,0,0,1
688,1,,,19,143,362,29,5,R0,120,C,0,1,0,0
691,0,,54,18,237,476,26,4,R0,114,B,1,0,0,1
693,0,44,,18,73,374,28,4,R0,117,B,1,0,0,1
699,0,43,,19,16,46,31,3,R0,117,C,1,0,0,0
701,1,,51,17,166,390,32,2,R0,210,F,1,0,0,0
702,1,,,14,37,75,30,2,R0,117,C+,1,0,0,0
704,0,,50,20,262,753,25,0,R0,117,C+,1,0,0,0
705,0,,,18,295,514,29,0,R0,117,B,1,0,0,1
719,1,,,19,32,95,,,R0,117,C,1,0,0,0
780,1,,,,,,,,R0,117,C-,1,0,0,0
783,,,,,,,,,R0,114,C,1,0,0,0
806,0,,62,,,,,,R0,117,A,1,0,0,1
808,,,38,20,273,445,29,10,R0,210,C,1,0,0,0
813,,44,,21,25,177,36,26,R0,109,B+,1,0,0,1
838,,50,,20,130,506,34,21,R0,120,S,0,1,0,
845,,,55,,,,31,19,R0,117,A,1,0,0,1
847,,60,65,24,,,23,12,R0,117,A,1,0,0,1
848,,,,21,77,297,33,19,R0,117,A-,1,0,0,1
849,,56,,26,35,398,39,30,R0,117,A,1,0,0,1
850,,49,48,,163,610,34,17,R0,210,B+,1,0,0,1
851,,,52,,118,516,23,10,R0,117,C,1,0,0,0
852,,,,27,114,469,28,18,R0,117,C,1,0,0,0
1124,,,58,25,19,197,36,22,R0,120,D-,0,1,0,0
1370,,,61,27,19,119,35,26,R0,117,A-,1,0,0,1
1408,,,53,26,,,27,16,R0,117,B,1,0,0,1
1422,,,61,,,,29,18,R0,117,A-,1,0,0,1
1437,,,58,,79,336,31,25,R0,117,C+,1,0,0,0
1451,,,,13,369,527,24,5,R0,117,,1,0,0,
1468,,61,,25,1,253,40,32,R0,117,B+,1,0,0,1
1477,,52,,22,27,71,34,17,R0,117,C+,1,0,0,0
1479,,,,19,16,136,35,15,R0,117,B+,1,0,0,1
1481,,,,15,,,,,R0,109,B+,1,0,0,1
1503,,51,,23,12,112,35,23,R0,117,B-,1,0,0,0
1519,,52,56,25,44,299,27,15,R0,117,A+,1,0,0,1
1530,,,,22,29,153,34,21,R0,117,B,1,0,0,1
1550,,,,16,110,328,33,15,R0,117,,1,0,0,
1567,,,52,,,,,,R0,120,B,0,1,0,1
1574,,,49,20,98,362,31,14,R0,117,C,1,0,0,0
1575,,,,19,44,125,31,19,R0,117,,1,0,0,
1581,,,46,,,,35,18,R0,117,B,1,0,0,1
1601,,53,48,,66,240,31,16,R0,210,B,1,0,0,1
1602,,,57,,,,27,14,R0,210,,1,0,0,
1604,,,,20,11,72,31,18,R0,117,C+,1,0,0,0
1607,,,,25,20,514,39,31,R0,117,B,1,0,0,1
1612,,,,26,100,499,35,26,R0,117,B+,1,0,0,1
1614,,48,,19,123,322,32,16,R0,117,B,1,0,0,1
1627,,61,63,,3,120,37,28,R0,117,B,1,0,0,1
1629,,,,18,44,190,34,17,R0,117,A-,1,0,0,1
1641,,56,,27,37,262,38,31,R0,117,A,1,0,0,1
1647,,48,,22,25,122,35,22,R0,117,B,1,0,0,1
1679,,,,17,199,666,32,15,R0,109,C-,1,0,0,0
1680,,,,22,93,608,35,25,R0,117,A,1,0,0,1
1688,,,,24,17,151,37,29,R0,117,,1,0,0,
1691,,51,,23,108,398,34,22,R0,120,C-,0,1,0,0
1707,,53,,23,5,120,39,28,R0,117,A-,1,0,0,1
1748,,,,20,0,0,38,23,R0,117,A-,1,0,0,1
1759,,47,50,21,29,159,33,20,R0,117,B-,1,0,0,0
