Convicted,IndWhiteVictim,IndWhiteDefendant,VictimRace,DefendantRace
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
Yes,0,1,Minority,White
Yes,0,1,Minority,White
Yes,0,1,Minority,White
Yes,0,1,Minority,White
Yes,0,1,Minority,White
No,0,1,Minority,White
No,0,1,Minority,White
No,0,1,Minority,White
No,0,1,Minority,White
No,0,1,Minority,White
No,0,1,Minority,White
No,0,1,Minority,White
No,0,1,Minority,White
No,0,1,Minority,White
No,0,1,Minority,White
No,0,1,Minority,White
No,0,1,Minority,White
No,0,1,Minority,White
No,0,1,Minority,White
No,0,1,Minority,White
No,0,1,Minority,White
Yes,1,0,White,Minority
Yes,1,0,White,Minority
Yes,1,0,White,Minority
Yes,1,0,White,Minority
Yes,1,0,White,Minority
Yes,1,0,White,Minority
Yes,1,0,White,Minority
Yes,1,0,White,Minority
No,1,0,White,Minority
No,1,0,White,Minority
No,1,0,White,Minority
No,1,0,White,Minority
No,1,0,White,Minority
No,1,0,White,Minority
No,1,0,White,Minority
No,1,0,White,Minority
No,1,0,White,Minority
No,1,0,White,Minority
No,1,0,White,Minority
No,1,0,White,Minority
No,1,0,White,Minority
No,1,0,White,Minority
Yes,0,0,Minority,Minority
Yes,0,0,Minority,Minority
Yes,0,0,Minority,Minority
Yes,0,0,Minority,Minority
Yes,0,0,Minority,Minority
Yes,0,0,Minority,Minority
Yes,0,0,Minority,Minority
Yes,0,0,Minority,Minority
Yes,0,0,Minority,Minority
Yes,0,0,Minority,Minority
Yes,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
Yes,0,0,Minority,Minority
Yes,0,0,Minority,Minority
Yes,0,0,Minority,Minority
Yes,0,0,Minority,Minority
Yes,0,0,Minority,Minority
Yes,0,0,Minority,Minority
Yes,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
Yes,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,1,1,White,White
No,0,1,Minority,White
No,0,1,Minority,White
No,0,1,Minority,White
Yes,1,0,White,Minority
Yes,1,0,White,Minority
No,1,0,White,Minority
Yes,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
No,0,0,Minority,Minority
