Year,Month,CO2,t
1988,1,348.1,1
1988,2,348.54,2
1988,3,349.4,3
1988,4,349.7,4
1988,5,349.65,5
1988,6,349.8,6
1988,7,349.9,7
1988,8,350.38,8
1988,9,351.05,9
1988,10,350.96,10
1988,11,350.64,11
1988,12,350.29,12
1989,1,349.84,13
1989,2,349.88,14
1989,3,350.19,15
1989,4,350.3,16
1989,5,350.37,17
1989,6,351.14,18
1989,7,352.2,19
1989,8,352.5,20
1989,9,352.29,21
1989,10,352.15,22
1989,11,351.98,23
1989,12,351.66,24
1990,1,350.81,25
1990,2,350.38,26
1990,3,350.9,27
1990,4,351.35,28
1990,5,351.68,29
1990,6,352.03,30
1990,7,352.58,31
1990,8,353.28,32
1990,9,353.48,33
1990,10,353.26,34
1990,11,353.11,35
1990,12,352.83,36
1991,1,352.44,37
1991,2,352.36,38
1991,3,352.46,39
1991,4,352.71,40
1991,5,353.01,41
1991,6,353.31,42
1991,7,353.74,43
1991,8,354.08,44
1991,9,354.31,45
1991,10,354.35,46
1991,11,354.28,47
1991,12,353.91,48
1992,1,353.32,49
1992,2,353.16,50
1992,3,353.33,51
1992,4,353.67,52
1992,5,354.02,53
1992,6,354.42,54
1992,7,354.91,55
1992,8,355.23,56
1992,9,355.53,57
1992,10,355.67,58
1992,11,355.33,59
1992,12,354.91,60
1993,1,354.52,61
1993,2,354.19,62
1993,3,354.31,63
1993,4,354.74,64
1993,5,354.95,65
1993,6,355.01,66
1993,7,355.42,67
1993,8,356.08,68
1993,9,356.42,69
1993,10,356.47,70
1993,11,356.42,71
1993,12,356.11,72
1994,1,355.59,73
1994,2,355.57,74
1994,3,355.81,75
1994,4,356.02,76
1994,5,356.18,77
1994,6,356.11,78
1994,7,356.3,79
1994,8,357.03,80
1994,9,357.51,81
1994,10,357.64,82
1994,11,357.53,83
1994,12,357.08,84
1995,1,356.79,85
1995,2,356.92,86
1995,3,357.15,87
1995,4,357.63,88
1995,5,358.19,89
1995,6,358.28,90
1995,7,358.43,91
1995,8,359.02,92
1995,9,359.49,93
1995,10,359.68,94
