Year,Month,t,FuelOil
1983,1,1,609.685
1983,2,2,555.222
1983,3,3,539.749
1983,4,4,476.906
1983,5,5,300.068
1983,6,6,345.605
1983,7,7,297.133
1983,8,8,350.65
1983,9,9,318.238
1983,10,10,352.327
1983,11,11,445.406
1983,12,12,633.17
1984,1,13,831.377
1984,2,14,593.782
1984,3,15,671.958
1984,4,16,489.956
1984,5,17,427.66
1984,6,18,357.351
1984,7,19,343.514
1984,8,20,409.327
1984,9,21,424.904
1984,10,22,426.89
1984,11,23,530.192
1984,12,24,629.133
1985,1,25,702.713
1985,2,26,723.669
1985,3,27,581.54
1985,4,28,436.346
1985,5,29,376.477
1985,6,30,354.622
1985,7,31,360.836
1985,8,32,398.12
1985,9,33,419.454
1985,10,34,497.756
1985,11,35,570.096
1985,12,36,755.285
1986,1,37,769.057
1986,2,38,793.131
1986,3,39,631.811
1986,4,40,486.267
1986,5,41,438.094
1986,6,42,380.689
1986,7,43,379.498
1986,8,44,409.753
1986,9,45,410.598
1986,10,46,490.527
1986,11,47,489.416
1986,12,48,609.953
1987,1,49,688.534
1987,2,50,656.439
1987,3,51,635.367
1987,4,52,504.854
1987,5,53,440.251
1987,6,54,426.502
1987,7,55,429.212
1987,8,56,393.2
1987,9,57,474.785
1987,10,58,577.458
1987,11,59,597.156
1987,12,60,704.061
1988,1,61,759.792
1988,2,62,744.628
1988,3,63,673.617
1988,4,64,498.831
1988,5,65,451.534
1988,6,66,416.426
1988,7,67,451.534
1988,8,68,472.59
1988,9,69,473.9
1988,10,70,523.732
1988,11,71,572.539
1988,12,72,662.638
1989,1,73,691.428
1989,2,74,636.219
1989,3,75,642.947
1989,4,76,486.364
1989,5,77,428.523
1989,6,78,442.845
1989,7,79,394.788
1989,8,80,489.736
1989,9,81,490.08
1989,10,82,503.115
1989,11,83,578.716
1989,12,84,765.624
1990,1,85,522.37
1990,2,86,531.656
1990,3,87,455.562
1990,4,88,421.22
1990,5,89,395.235
1990,6,90,424.958
1990,7,91,400.812
1990,8,92,447.197
1990,9,93,450.928
1990,10,94,462.985
1990,11,95,498.237
1990,12,96,514.947
1991,1,97,579.225
1991,2,98,512.812
1991,3,99,460.406
1991,4,100,412.349
1991,5,101,377.428
1991,6,102,390.531
1991,7,103,398.362
1991,8,104,392.262
1991,9,105,380.05
1991,10,106,434.202
1991,11,107,407.985
1991,12,108,507.58
1992,1,109,581.834
1992,2,110,528.762
1992,3,111,474.843
1992,4,112,447.438
1992,5,113,374.028
1992,6,114,396.162
1992,7,115,357.22
1992,8,116,369.607
1992,9,117,490.747
1992,10,118,428.875
1992,11,119,473.944
1992,12,120,594.221
1993,1,121,563.491
1993,2,122,587.1
1993,3,123,582.177
1993,4,124,483.848
1993,5,125,415.005
1993,6,126,444.52
1993,7,127,411.082
1993,8,128,449.416
1993,9,129,416.001
1993,10,130,317.654
1993,11,131,350.111
1993,12,132,483.862
1994,1,133,632.566
1994,2,134,633.808
1994,3,135,515.193
1994,4,136,396.612
1994,5,137,394.126
1994,6,138,390.431
1994,7,139,334.807
1994,8,140,371.89
1994,9,141,399.084
1994,10,142,396.589
1994,11,143,432.423
1994,12,144,531.272
1995,1,145,530.397
1995,2,146,604.983
1995,3,147,471.898
1995,4,148,429.707
1995,5,149,344.118
1995,6,150,355.179
1995,7,151,309.263
1995,8,152,316.869
1995,9,153,339.05
1995,10,154,356.552
1995,11,155,459.505
1995,12,156,602.521
1996,1,157,608.925
1996,2,158,600.508
1996,3,159,482.867
1996,4,160,411.094
1996,5,161,332.106
1996,6,162,342.778
1996,7,163,301.941
1996,8,164,317.81
1996,9,165,352.371
1996,10,166,429.155
1996,11,167,496.175
1996,12,168,542.812
1997,1,169,619.059
1997,2,170,542.139
1997,3,171,460.4
1997,4,172,394.291
1997,5,173,341.39
1997,6,174,359.409
1997,7,175,340.167
1997,8,176,336.563
1997,9,177,359.409
1997,10,178,351.012
1997,11,179,370.226
1997,12,180,468.8
1998,1,181,452.427
1998,2,182,458.378
1998,3,183,414.306
1998,4,184,355.979
1998,5,185,373.827
1998,6,186,328.599
1998,7,187,303.603
1998,8,188,292.871
1998,9,189,285.751
1998,10,190,345.26
1998,11,191,330.968
1998,12,192,419.083
1999,1,193,537.679
1999,2,194,577.503
1999,3,195,486.459
