Year,Qtr,t,Oil,LogOil,,
1983,1,1,90.7461,4.508065497,,
1983,2,2,84.0814,4.431785377,,
1983,3,3,85.6613,4.450401148,,
1983,4,4,79.3873,4.374338406,,
1984,1,5,115.7547,4.751473297,,
1984,2,6,88.0909,4.478369236,,
1984,3,7,97.7822,4.582742556,,
1984,4,8,92.3991,4.526117238,,
1985,1,9,88.9419,4.487983348,,
1985,2,10,65.79,4.186467851,,
1985,3,11,64.311,4.16373069,,
1985,4,12,83.3893,4.423520004,,
1986,1,13,94.0889,4.54424008,,
1986,2,14,90.9986,4.510844122,,
1986,3,15,100.1672,4.60684079,,
1986,4,16,95.12,4.555139252,,
1987,1,17,96.7618,4.572252288,,
1987,2,18,79.0255,4.369770585,,
1987,3,19,86.598,4.461276721,,
1987,4,20,85.2208,4.445245535,,
1988,1,21,100.5839,4.610992205,,
1988,2,22,72.9871,4.290282713,,
1988,3,23,85.6878,4.450710458,,
1988,4,24,102.5869,4.630710244,,
1989,1,25,104.7483,4.65156033,,
1989,2,26,91.6172,4.517619027,,
1989,3,27,83.1171,4.420250457,,
1989,4,28,85.5142,4.448682444,,
1990,1,29,88.2232,4.479869967,,
1990,2,30,74.9822,4.317250752,,
1990,3,31,80.5536,4.388922801,,
1990,4,32,67.1789,4.20735921,,
1991,1,33,71.5356,4.270195228,,
1991,2,34,71.2116,4.265655726,,
1991,3,35,76.2292,4.333744591,,
1991,4,36,69.127,4.235945393,,
1992,1,37,82.5471,4.41336904,,
1992,2,38,63.867,4.156802796,,
1992,3,39,59.8903,4.092514555,,
1992,4,40,62.5852,4.136528828,,
1993,1,41,61.6425,4.121351568,,
1993,2,42,52.2319,3.955693419,,
1993,3,43,50.685,3.925630009,,
1993,4,44,42.6757,3.753629672,,
1994,1,45,48.2276,3.875931471,,
1994,2,46,38.7525,3.65719527,,
1994,3,47,35.5784,3.571738712,,
1994,4,48,40.0044,3.688989448,,
1995,1,49,38.7365,3.656782308,,
1995,2,50,31.7065,3.456521707,,
1995,3,51,33.4708,3.510673417,,
1995,4,52,35.0661,3.557234852,,
1996,1,53,42.0937,3.739898086,,
1996,2,54,33.8152,3.520910406,,
1996,3,55,34.8789,3.551882062,,
1996,4,56,43.6007,3.775073205,,
1997,1,57,41.4809,3.72523308,,
1997,2,58,34.4509,3.539535122,,
1997,3,59,38.2358,3.64377225,,
1997,4,60,47.0946,3.852158345,,
1998,1,61,44.448,3.794319967,,
1998,2,62,41.0797,3.715514082,,
1998,3,63,47.2577,3.855615604,,
1998,4,64,40.0315,3.689666644,,
1999,1,65,50.634,3.924623287,,
1999,2,66,40.9958,3.713469622,,
1999,3,67,38.5657,3.65236328,,
1999,4,68,36.7031,3.60286122,,
2000,1,69,35.9295,3.581558685,,
2000,2,70,36.7234,3.603414154,,
2000,3,71,37.2174,3.616776394,,
2000,4,72,47.0562,3.851342632,,
2001,1,73,54.0276,3.989495027,,
2001,2,74,49.2811,3.89754064,,
2001,3,75,39.909,3.686601862,,
2001,4,76,34.4435,3.5393203,,
2002,1,77,31.1875,3.440017374,,
2002,2,78,29.9978,3.401124046,,
2002,3,79,29.9776,3.400450436,,
2002,4,80,34.0324,3.527313012,,
2003,1,81,35.7249,3.575847925,,
2003,2,82,33.1225,3.50021281,,
2003,3,83,30.6011,3.421035956,,
2003,4,84,28.7195,3.357576335,,
2004,1,85,33.4127,3.508936067,,
2004,2,86,30.5776,3.420267715,,
2004,3,87,27.1952,3.303040487,,
2004,4,88,31.2346,3.441526455,,
2005,1,89,34.0443,3.527662618,,
2005,2,90,27.4308,3.31166647,,
2005,3,91,30.4882,3.417339724,,
2005,4,92,32.8838,3.492980135,,
2006,1,93,31.7836,3.458950433,,
2006,2,94,29.2905,3.377263231,,
2006,3,95,31.3452,3.445061145,,
2006,4,96,31.8474,3.460955746,,
2007,1,97,36.4856,3.596917662,,
2007,2,98,34.3031,3.535235729,,
2007,3,99,31.6437,3.454539077,,
2007,4,100,28.8051,3.360552455,,
2008,1,101,27.8087,3.325348921,,
2008,2,102,24.8827,3.214172783,,
2008,3,103,22.3411,3.106428031,,
2008,4,104,26.1875,3.265282198,,
2009,1,105,30.7608,3.426241152,,
2009,2,106,22.5099,3.113955212,,
2009,3,107,23.9059,3.17412529,,
2009,4,108,25.3815,3.234020562,,
2010,1,109,24.8712,3.213710508,,
2010,2,110,21.1167,3.050064197,,
2010,3,111,22.3652,3.107506179,,
2010,4,112,22.4066,3.109355558,,
2011,1,113,22.0759,3.094486516,,
2011,2,114,18.7423,2.930783001,,
2011,3,115,17.1106,2.839698155,,
2011,4,116,19.1709,2.953393504,,
2012,1,117,17.8441,2.881672921,,
2012,2,118,16.6333,2.81140671,,
2012,3,119,16.2552,2.788412858,,
2012,4,120,15.4961,2.740588379,,
2013,1,121,17.666,2.871641888,,
2013,2,122,14.2889,2.659483012,,
2013,3,123,14.6998,2.687833888,,
2013,4,124,15.5348,2.743082669,,
2014,1,125,15.3652,2.732105212,,
2014,2,126,13.413,2.596224386,,
2014,3,127,12.6742,2.539568431,,
2014,4,128,13.803,2.62488596,,
2015,1,129,10.8345,2.382735487,,
2015,2,130,13.0435,2.568289925,,
2015,3,131,12.4498,2.521704559,,
2015,4,132,12.1386,2.496390458,,
2016,1,133,12.0165,2.486280705,,
2016,2,134,11.9262,2.478737661,,
2016,3,135,13.4696,2.600435294,,
2016,4,136,12.6076,2.534299807,,
