Year,Month,Traffic,t
2012,1,403.2,1
2012,2,409.9,2
2012,3,491.7,3
2012,4,470.3,4
2012,5,506.2,5
2012,6,541.2,6
2012,7,636.9,7
2012,8,671.5,8
2012,9,508.1,9
2012,10,491.9,10
2012,11,458.6,11
2012,12,441.6,12
2013,1,401.9,13
2013,2,386.3,14
2013,3,482.3,15
2013,4,461.4,16
2013,5,510.4,17
2013,6,527.5,18
2013,7,623.2,19
2013,8,651.9,20
2013,9,499.6,21
2013,10,494.6,22
2013,11,451.0,23
2013,12,427.4,24
2014,1,370.0,25
2014,2,364.7,26
2014,3,442.3,27
2014,4,442.5,28
2014,5,486.4,29
2014,6,512.6,30
2014,7,595.3,31
2014,8,633.4,32
2014,9,478.8,33
2014,10,484.1,34
2014,11,379.6,35
2014,12,419.1,36
2015,1,357.2,37
2015,2,328.7,38
2015,3,428.9,39
2015,4,417.7,40
2015,5,461.4,41
2015,6,484.9,42
2015,7,592.8,43
2015,8,598.6,44
2015,9,476.9,45
2015,10,457.9,46
2015,11,401.3,47
2015,12,395.9,48
