Species,Tail
RT,219
RT,221
RT,235
SS,157
RT,230
RT,212
RT,243
RT,210
RT,238
RT,222
RT,217
RT,213
RT,238
RT,243
RT,232
RT,238
RT,202
RT,227
RT,227
RT,222
RT,237
RT,238
RT,213
RT,211
SS,130
RT,190
RT,245
SS,164
RT,246
RT,207
RT,209
RT,200
RT,215
RT,219
RT,198
RT,207
RT,204
RT,205
SS,144
SS,136
RT,230
RT,227
RT,208
RT,231
RT,222
RT,225
RT,225
RT,233
RT,214
RT,233
SS,158
RT,245
RT,210
RT,229
RT,235
RT,221
RT,210
RT,212
RT,225
RT,215
SS,122
RT,235
SS,133
SS,154
RT,209
RT,212
RT,209
RT,250
RT,235
RT,222
RT,236
RT,210
RT,239
RT,228
RT,220
RT,233
RT,236
SS,155
SS,152
SS,135
RT,216
RT,233
RT,248
RT,221
RT,227
RT,223
RT,219
RT,225
RT,238
RT,235
RT,222
SS,155
SS,160
SS,137
SS,127
RT,238
SS,150
SS,150
RT,229
RT,227
SS,129
RT,245
RT,223
SS,133
RT,210
RT,234
RT,219
RT,216
RT,230
RT,223
RT,220
RT,241
SS,136
SS,137
RT,223
RT,238
SS,126
RT,235
RT,240
SS,137
SS,160
SS,140
RT,220
RT,218
RT,234
RT,232
RT,221
RT,220
RT,232
RT,214
RT,225
RT,238
SS,133
SS,136
SS,151
SS,131
RT,238
RT,229
RT,202
RT,226
RT,220
RT,215
RT,122
SS,134
RT,215
RT,208
RT,211
RT,220
RT,204
RT,229
RT,205
SS,155
SS,150
RT,244
RT,225
RT,239
RT,222
RT,209
SS,164
SS,159
RT,211
SS,160
SS,157
SS,160
RT,216
RT,250
RT,260
SS,164
RT,217
RT,228
RT,218
RT,220
RT,227
RT,211
RT,222
RT,225
RT,221
RT,231
RT,235
RT,235
RT,200
RT,216
RT,223
RT,210
RT,229
SS,160
SS,125
RT,226
SS,154
RT,207
RT,238
SS,151
SS,158
RT,197
RT,250
RT,215
RT,214
RT,230
RT,213
RT,214
RT,224
SS,153
SS,131
SS,145
SS,165
SS,168
SS,156
RT,215
SS,164
SS,155
RT,239
RT,214
RT,232
RT,205
RT,243
RT,255
SS,159
SS,156
RT,276
RT,210
SS,145
RT,231
RT,216
RT,210
RT,220
RT,260
RT,200
RT,230
RT,220
RT,220
RT,235
RT,215
RT,215
RT,221
RT,225
RT,238
RT,212
RT,215
RT,235
SS,132
RT,229
RT,251
RT,215
RT,225
RT,210
RT,267
RT,220
RT,238
RT,248
RT,241
RT,212
RT,221
RT,233
SS,138
RT,230
RT,223
RT,226
RT,208
RT,231
RT,217
RT,230
SS,153
SS,186
RT,225
RT,226
RT,214
RT,242
RT,220
RT,250
SS,178
RT,220
RT,240
RT,230
RT,220
RT,234
RT,226
RT,218
RT,209
RT,228
RT,235
RT,223
RT,245
RT,235
SS,158
SS,133
RT,221
SS,125
SS,158
SS,159
SS,132
SS,136
RT,216
SS,137
SS,155
SS,155
SS,138
SS,130
SS,154
RT,216
RT,200
SS,132
SS,215
RT,216
RT,221
RT,196
SS,218
SS,135
SS,221
RT,210
RT,220
RT,220
RT,221
RT,242
RT,220
RT,210
RT,221
RT,236
SS,162
SS,150
RT,235
RT,231
RT,227
RT,238
RT,225
RT,249
RT,213
RT,240
RT,231
RT,227
SS,155
RT,223
RT,228
RT,242
SS,149
RT,247
SS,158
RT,267
RT,257
SS,148
RT,221
RT,214
RT,229
RT,213
SS,138
RT,213
SS,158
RT,201
RT,216
SS,165
SS,160
RT,244
RT,230
RT,227
SS,139
RT,233
RT,240
RT,237
SS,144
RT,210
RT,225
SS,125
RT,246
RT,225
RT,230
RT,220
RT,230
RT,233
SS,135
SS,170
RT,232
RT,234
RT,239
RT,230
RT,213
RT,207
RT,214
SS,146
RT,217
RT,216
RT,214
RT,216
RT,222
RT,288
RT,238
RT,199
SS,161
RT,235
SS,137
SS,143
RT,219
SS,128
SS,161
RT,236
SS,131
RT,225
SS,150
RT,223
RT,225
RT,241
SS,136
RT,210
SS,160
SS,135
RT,223
RT,219
RT,229
RT,211
RT,204
RT,204
SS,146
RT,214
RT,236
RT,247
RT,227
SS,155
SS,159
SS,132
RT,225
SS,130
RT,220
RT,215
SS,161
RT,226
RT,227
RT,236
SS,169
RT,210
SS,164
RT,226
RT,242
SS,153
RT,221
RT,220
RT,219
RT,225
RT,221
RT,215
RT,223
RT,219
RT,235
RT,216
SS,151
RT,130
SS,154
RT,223
RT,221
RT,220
RT,186
RT,217
RT,209
RT,215
RT,214
SS,169
RT,207
SS,153
RT,210
RT,224
RT,200
RT,207
SS,137
RT,212
SS,132
RT,226
RT,232
RT,228
RT,205
SS,155
RT,228
RT,237
SS,135
RT,230
RT,219
RT,223
RT,210
RT,222
SS,124
RT,201
RT,234
SS,149
RT,204
RT,204
SS,154
RT,224
SS,150
SS,147
SS,130
RT,229
SS,153
RT,222
RT,214
SS,132
RT,219
RT,230
RT,230
RT,217
RT,225
SS,123
RT,229
RT,215
RT,247
RT,222
RT,220
RT,234
SS,192
RT,248
RT,221
SS,132
SS,162
RT,218
RT,225
RT,215
RT,225
RT,244
RT,232
RT,238
RT,231
RT,218
RT,223
SS,152
RT,197
RT,195
RT,206
RT,213
SS,127
SS,122
RT,222
SS,124
RT,227
RT,235
SS,158
SS,150
SS,133
RT,228
RT,219
RT,231
SS,127
SS,127
RT,209
RT,237
RT,210
SS,133
RT,215
RT,217
SS,135
RT,207
RT,211
RT,225
SS,131
RT,223
RT,218
RT,222
RT,235
RT,208
RT,216
SS,157
RT,217
RT,219
RT,235
RT,212
RT,211
RT,201
RT,200
SS,137
RT,217
RT,223
RT,199
RT,217
RT,207
RT,222
SS,163
RT,217
RT,200
RT,220
RT,216
RT,216
RT,222
SS,136
SS,142
RT,213
SS,154
RT,226
SS,156
SS,160
SS,149
SS,131
SS,137
SS,126
RT,210
SS,165
RT,235
RT,222
SS,129
SS,156
SS,135
SS,129
SS,131
SS,160
RT,223
SS,152
RT,223
SS,132
RT,216
RT,207
RT,218
RT,215
RT,224
RT,242
SS,157
SS,119
SS,130
SS,124
SS,130
RT,237
SS,140
SS,159
SS,138
SS,159
SS,136
RT,221
RT,243
RT,222
RT,208
SS,132
RT,245
SS,131
RT,206
RT,220
RT,217
SS,162
RT,210
SS,163
RT,196
RT,206
RT,218
RT,210
RT,224
SS,154
SS,161
SS,157
SS,158
SS,156
SS,133
RT,218
RT,213
SS,165
RT,235
RT,206
RT,206
SS,153
SS,135
RT,207
RT,230
RT,224
RT,218
RT,215
RT,226
RT,242
RT,212
RT,201
SS,129
SS,132
SS,131
RT,234
RT,220
RT,225
RT,214
RT,230
RT,220
RT,209
SS,156
RT,225
SS,139
SS,159
RT,226
SS,154
RT,230
SS,131
SS,156
RT,233
RT,235
RT,226
SS,145
SS,156
SS,130
SS,130
SS,147
SS,141
RT,231
RT,225
RT,205
RT,226
SS,156
SS,153
SS,131
SS,155
RT,230
SS,165
RT,238
SS,132
SS,135
SS,134
RT,217
RT,227
RT,230
SS,136
RT,217
SS,154
RT,216
RT,215
RT,199
RT,210
RT,217
RT,212
RT,223
RT,215
RT,218
RT,221
RT,215
SS,163
RT,218
RT,204
SS,151
RT,218
SS,155
RT,216
SS,156
RT,220
RT,230
RT,213
RT,220
RT,215
RT,214
SS,136
RT,215
RT,217
SS,158
RT,219
RT,215
RT,211
RT,234
SS,161
RT,208
SS,153
SS,152
SS,163
RT,226
SS,125
SS,134
SS,162
SS,123
RT,228
RT,221
SS,131
SS,143
SS,129
RT,223
RT,232
SS,125
SS,150
SS,158
RT,230
RT,225
SS,141
RT,224
SS,162
SS,131
SS,132
RT,215
RT,237
SS,133
SS,156
SS,163
SS,134
RT,253
SS,160
SS,158
RT,196
RT,217
RT,227
RT,220
RT,227
RT,238
SS,122
SS,137
RT,220
RT,212
RT,197
RT,230
SS,147
RT,233
SS,135
RT,140
RT,218
RT,222
RT,233
SS,159
SS,136
RT,222
RT,203
RT,218
RT,242
SS,129
RT,205
RT,236
SS,121
SS,134
RT,233
RT,211
RT,217
RT,218
RT,241
RT,218
RT,208
RT,212
SS,152
RT,203
RT,218
SS,153
RT,196
SS,156
RT,217
RT,212
RT,237
RT,206
SS,158
SS,157
SS,157
RT,201
SS,158
RT,224
RT,199
RT,219
RT,217
RT,224
SS,150
RT,211
RT,207
RT,222
