State,Senator,Party,ConfVote,StateOpinion,Vote
Alabama,Jeff Sessions,R,Yea,70,1
Alabama,Richard Shelby,R,Yea,70,1
Alaska,Lisa Murkowski,R,Yea,70,1
Alaska,Ted Stevens,R,Yea,70,1
Arizona,Jon Kyl,R,Yea,65,1
Arizona,John McCain,R,Yea,65,1
Arkansas,Blanche Lincoln,D,Nay,69,0
Arkansas,Mark Pryor,D,Nay,69,0
California,Barbara Boxer,D,Nay,57,0
California,Dianne Feinstein,D,Nay,57,0
Colorado,Wayne Allard,R,Yea,63,1
Colorado,Ken Salazar,D,Nay,63,0
Connecticut,Christopher Dodd,D,Nay,61,0
Connecticut,Joe Lieberman,D,Nay,61,0
Delaware,Joe Biden,D,Nay,60,0
Delaware,Tom Carper,D,Nay,60,0
Florida,Mel Martinez,R,Yea,65,1
Florida,Bill Nelson,D,Nay,65,0
Georgia,Saxby Chambliss,R,Yea,66,1
Georgia,Johnny Isakson,R,Yea,66,1
Hawaii,Daniel Akaka,D,Nay,60,0
Hawaii,Daniel Inouye,D,Nay,60,0
Idaho,Larry Craig,R,Yea,74,1
Idaho,Mike Crapo,R,Yea,74,1
Illinois,Dick Durbin,D,Nay,64,0
Illinois,Barack Obama,D,Nay,64,0
Indiana,Evan Bayh,D,Nay,74,0
Indiana,Richard Lugar,R,Yea,74,1
Iowa,Chuck Grassley,R,Yea,71,1
Iowa,Tom Harkin,D,Nay,71,0
Kansas,Sam Brownback,R,Yea,76,1
Kansas,Pat Roberts,R,Yea,76,1
Kentucky,Jim Bunning,R,Yea,72,1
Kentucky,Mitch McConnell,R,Yea,72,1
Louisiana,Mary Landrieu,D,Nay,65,0
Louisiana,David Vitter,R,Yea,65,1
Maine,Susan Collins,R,Yea,65,1
Maine,Olympia Snowe,R,Yea,65,1
Maryland,Barbara Mikulski,D,Nay,57,0
Maryland,Paul Sarbanes,D,Nay,57,0
Massachusetts,Ted Kennedy,D,Nay,57,0
Massachusetts,John Kerry,D,Nay,57,0
Michigan,Carl Levin,D,Nay,67,0
Michigan,Debbie Stabenow,D,Nay,67,0
Minnesota,Norm Coleman,R,Yea,71,1
Minnesota,Mark Dayton,D,Nay,71,0
Mississippi,Thad Cochran,R,Yea,66,1
Mississippi,Trent Lott,R,Yea,66,1
Missouri,Kit Bond,R,Yea,69,1
Missouri,Jim Talent,R,Yea,69,1
Montana,Max Baucus,D,Nay,70,0
Montana,Conrad Burns,R,Yea,70,1
Nebraska,Chuck Hagel,R,Yea,78,1
Nebraska,Ben Nelson,D,Yea,78,1
Nevada,John Ensign,R,Yea,62,1
Nevada,Harry Reid,D,Nay,62,0
New Hampshire,Judd Gregg,R,Yea,66,1
New Hampshire,John Sununu,R,Yea,66,1
New Jersey,Frank Lautenberg,D,Nay,61,0
New Jersey,Bob Menendez,D,Nay,61,0
New Mexico,Jeff Bingaman,D,Nay,62,0
New Mexico,Pete Domenici,R,Yea,62,1
New York,Hillary Clinton,D,Nay,58,0
New York,Chuck Schumer,D,Nay,58,0
North Carolina,Richard Burr,R,Yea,66,1
North Carolina,Elizabeth Dole,R,Yea,66,1
North Dakota,Kent Conrad,D,Yea,77,1
North Dakota,Byron Dorgan,D,Nay,77,0
Ohio,Mike DeWine,R,Yea,68,1
Ohio,George Voinovich,R,Yea,68,1
Oklahoma,Tom Coburn,R,Yea,75,1
Oklahoma,Jim Inhofe,R,Yea,75,1
Oregon,Gordon Smith,R,Yea,62,1
Oregon,Ron Wyden,D,Nay,62,0
Pennsylvania,Rick Santorum,R,Yea,65,1
Pennsylvania,Arlen Specter,R,Yea,65,1
Rhode Island,Lincoln Chafee,R,Nay,59,0
Rhode Island,Jack Reed,D,Nay,59,0
South Carolina,Jim DeMint,R,Yea,66,1
South Carolina,Lindsey Graham,R,Yea,66,1
South Dakota,Tim Johnson,D,Yea,76,1
South Dakota,John Thune,R,Yea,76,1
Tennessee,Lamar Alexander,R,Yea,68,1
Tennessee,Bill Frist,R,Yea,68,1
Texas,John Cornyn,R,Yea,70,1
Texas,Kay Bailey Hutchison,R,Yea,70,1
Utah,Robert Bennett,R,Yea,77,1
Utah,Orrin Hatch,R,Yea,77,1
Vermont,Jim Jeffords,D,Nay,61,0
Vermont,Patrick Leahy,D,Nay,61,0
Virginia,George Allen,R,Yea,65,1
Virginia,John Warner,R,Yea,65,1
Washington,Maria Cantwell,D,Nay,61,0
Washington,Patty Murray,D,Nay,61,0
West Virginia,Robert Byrd,D,Yea,70,1
West Virginia,Jay Rockefeller,D,Nay,70,0
Wisconsin,Russ Feingold,D,Nay,70,0
Wisconsin,Herb Kohl,D,Nay,70,0
Wyoming,Mike Enzi,R,Yea,74,1
Wyoming,Craig Thomas,R,Yea,74,1
