Year,Seed,Final4
1979,1,1
1979,2,1
1979,2,1
1979,9,1
1980,2,1
1980,5,1
1980,6,1
1980,8,1
1981,1,1
1981,1,1
1981,2,1
1981,3,1
1982,1,1
1982,1,1
1982,3,1
1982,6,1
1983,1,1
1983,1,1
1983,4,1
1983,6,1
1984,1,1
1984,1,1
1984,2,1
1984,7,1
1985,1,1
1985,1,1
1985,2,1
1985,8,1
1986,1,1
1986,1,1
1986,2,1
1986,11,1
1987,1,1
1987,1,1
1987,2,1
1987,6,1
1988,1,1
1988,1,1
1988,2,1
1988,6,1
1989,1,1
1989,2,1
1989,3,1
1989,3,1
1990,1,1
1990,3,1
1990,4,1
1990,4,1
1991,1,1
1991,1,1
1991,2,1
1991,3,1
1992,1,1
1992,2,1
1992,4,1
1992,6,1
1993,1,1
1993,1,1
1993,1,1
1993,2,1
1994,1,1
1994,2,1
1994,2,1
1994,3,1
1995,1,1
1995,2,1
1995,2,1
1995,4,1
1996,1,1
1996,1,1
1996,4,1
1996,5,1
1997,1,1
1997,1,1
1997,1,1
1997,4,1
1998,1,1
1998,2,1
1998,3,1
1998,3,1
1999,1,1
1999,1,1
1999,1,1
1999,4,1
2000,1,1
2000,5,1
2000,8,1
2000,8,1
2001,1,1
2001,1,1
2001,2,1
2001,3,1
2002,1,1
2002,1,1
2002,2,1
2002,5,1
2003,1,1
2003,2,1
2003,3,1
2003,3,1
2004,1,1
2004,2,1
2004,2,1
2004,3,1
2005,1,1
2005,1,1
2005,4,1
2005,5,1
2006,2,1
2006,3,1
2006,4,1
2006,11,1
2007,1,1
2007,1,1
2007,2,1
2007,2,1
2008,1,1
2008,1,1
2008,1,1
2008,1,1
2009,1,1
2009,1,1
2009,2,1
2009,3,1
2010,1,1
2010,2,1
2010,5,1
2010,5,1
2011,3,1
2011,4,1
2011,8,1
2011,11,1
2012,1,1
2012,2,1
2012,2,1
2012,4,1
2013,1,1
2013,4,1
2013,4,1
2013,9,1
2014,1,1
2014,2,1
2014,7,1
2014,8,1
2015,1,1
2015,1,1
2015,1,1
2015,7,1
2016,1,1
2016,2,1
2016,2,1
2016,10,1
2017,1,1
2017,1,1
2017,3,1
2017,7,1
1979,1,0
1979,1,0
1979,1,0
1979,2,0
1979,2,0
1979,3,0
1979,3,0
1979,3,0
1979,3,0
1979,4,0
1979,4,0
1979,4,0
1979,4,0
1979,5,0
1979,5,0
1979,5,0
1979,5,0
1979,6,0
1979,6,0
1979,6,0
1979,6,0
1979,7,0
1979,7,0
1979,7,0
1979,7,0
1979,8,0
1979,8,0
1979,8,0
1979,8,0
1979,9,0
1979,9,0
1979,9,0
1979,10,0
1979,10,0
1979,10,0
1979,10,0
1979,11,0
1979,11,0
1979,11,0
1979,11,0
1979,12,0
1979,12,0
1979,12,0
1979,12,0
1979,13,0
1979,13,0
1979,13,0
1979,13,0
1979,14,0
1979,14,0
1979,14,0
1979,14,0
1979,15,0
1979,15,0
1979,15,0
1979,15,0
1979,16,0
1979,16,0
1979,16,0
1979,16,0
1980,1,0
1980,1,0
1980,1,0
1980,1,0
1980,2,0
1980,2,0
1980,2,0
1980,3,0
1980,3,0
1980,3,0
1980,3,0
1980,4,0
1980,4,0
1980,4,0
1980,4,0
1980,5,0
1980,5,0
1980,5,0
1980,6,0
1980,6,0
1980,6,0
1980,7,0
1980,7,0
1980,7,0
1980,7,0
1980,8,0
1980,8,0
1980,8,0
1980,9,0
1980,9,0
1980,9,0
1980,9,0
1980,10,0
1980,10,0
1980,10,0
1980,10,0
1980,11,0
1980,11,0
1980,11,0
1980,11,0
1980,12,0
1980,12,0
1980,12,0
1980,12,0
1980,13,0
1980,13,0
1980,13,0
1980,13,0
1980,14,0
1980,14,0
1980,14,0
1980,14,0
1980,15,0
1980,15,0
1980,15,0
1980,15,0
1980,16,0
1980,16,0
1980,16,0
1980,16,0
1981,1,0
1981,1,0
1981,2,0
1981,2,0
1981,2,0
1981,3,0
1981,3,0
1981,3,0
1981,4,0
1981,4,0
1981,4,0
1981,4,0
1981,5,0
1981,5,0
1981,5,0
1981,5,0
1981,6,0
1981,6,0
1981,6,0
1981,6,0
1981,7,0
1981,7,0
1981,7,0
1981,7,0
1981,8,0
1981,8,0
1981,8,0
1981,8,0
1981,9,0
1981,9,0
1981,9,0
1981,9,0
1981,10,0
1981,10,0
1981,10,0
1981,10,0
1981,11,0
1981,11,0
1981,11,0
1981,11,0
1981,12,0
1981,12,0
1981,12,0
1981,12,0
1981,13,0
1981,13,0
1981,13,0
1981,13,0
1981,14,0
1981,14,0
1981,14,0
1981,14,0
1981,15,0
1981,15,0
1981,15,0
1981,15,0
1981,16,0
1981,16,0
1981,16,0
1981,16,0
1982,1,0
1982,1,0
1982,2,0
1982,2,0
1982,2,0
1982,2,0
1982,3,0
1982,3,0
1982,3,0
1982,4,0
1982,4,0
1982,4,0
1982,4,0
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,6,0
1982,6,0
1982,6,0
1982,7,0
1982,7,0
1982,7,0
1982,7,0
1982,8,0
1982,8,0
1982,8,0
1982,8,0
1982,9,0
1982,9,0
1982,9,0
1982,9,0
1982,10,0
1982,10,0
1982,10,0
1982,10,0
1982,11,0
1982,11,0
1982,11,0
1982,11,0
1982,12,0
1982,12,0
1982,12,0
1982,12,0
1982,13,0
1982,13,0
1982,13,0
1982,13,0
1982,14,0
1982,14,0
1982,14,0
1982,14,0
1982,15,0
1982,15,0
1982,15,0
1982,15,0
1982,16,0
1982,16,0
1982,16,0
1982,16,0
1983,1,0
1983,1,0
1983,2,0
1983,2,0
1983,2,0
1983,2,0
