Senator,Contributions,Party,State,RollCall,Vote
Alexander,166100,R,TN,Nay,With
Baldwin,19250,D,WI,Yea,Against
Barrasso,112750,R,WY,Nay,With
Bennet,222000,D,CO,Nay,With
Blumenthal,83450,D,CT,Yea,Against
Blunt,196900,R,MO,Nay,With
Booker,267338,D,NJ,Nay,With
Boozman,26250,R,AR,Yea,Against
Brown,27070,D,OH,Yea,Against
Burr,228849,R,NC,Nay,With
Cantwell,25600,D,WA,Nay,With
Capito,61416,R,WV,Nay,With
Cardin,46400,D,MD,Yea,Against
Carper,210010,D,DE,Nay,With
Casey,250730,D,PA,Nay,With
Cassidy,154300,R,LA,Nay,With
Cochran,51659,R,MS,Nay,With
Collins,59700,R,ME,Yea,Against
Coons,217150,D,DE,Nay,With
Corker,92130,R,TN,Nay,With
Cornyn,132050,R,TX,Nay,With
Cotton,10241,R,AR,Nay,With
Crapo,143450,R,ID,Nay,With
Cruz,121222,R,TX,Yea,Against
Daines,41350,R,MT,Nay,With
Donnelly,111312,D,IN,Nay,With
Duckworth,15410,D,IL,Yea,Against
Durbin,32000,D,IL,Yea,Against
Enzi,135600,R,WY,Nay,With
Ernst,3000,R,IA,Nay,With
Fischer,44750,R,NE,Nay,With
Flake,39750,R,AZ,Yea,Against
Franken,12216,D,MN,Yea,Against
Gardner,127050,R,CO,Nay,With
Gillibrand,90950,D,NY,Yea,Against
Graham,92850,R,SC,Nay,With
Grassley,73650,R,IA,Yea,Against
Hatch,342310,R,UT,Nay,With
Heinrich,61302,D,NM,Nay,With
Heitkamp,32750,D,ND,Nay,With
Heller,56750,R,NV,Yea,Against
Hirono,20000,D,HI,Yea,Against
Hoeven,46395,R,ND,Nay,With
Inhofe,28750,R,OK,Nay,With
Isakson,149800,R,GA,Nay,With
Johnson,43200,R,WI,Nay,With
Kaine,77150,D,VA,Yea,Against
King,3500,D,ME,Yea,Against
Klobuchar,15750,D,MN,Yea,Against
Lankford,19500,R,OK,Nay,With
Leahy,34750,D,VT,Yea,Against
Lee,50500,R,UT,Yea,Against
Manchin,230000,D,WV,Yea,Against
Markey,155950,D,MA,Yea,Against
McCain,22700,R,AZ,Yea,Against
McCaskill,42950,D,MO,Yea,Against
McConnell,322750,R,KY,Nay,With
Menendez,191400,D,NJ,Nay,With
Merkley,11950,D,OR,Yea,Against
Moran,95250,R,KS,Nay,With
Murkowski,40600,R,AK,Yea,Against
Murphy,30800,D,CT,Yea,Against
Murray,254649,D,WA,Nay,With
Nelson,31250,D,FL,Yea,Against
Paul,61701,R,KY,Yea,Against
Perdue,30650,R,GA,Nay,With
Peters,59150,D,MI,Yea,Against
Portman,248900,R,OH,Nay,With
Reed,20500,D,RI,Yea,Against
Risch,17500,R,ID,Nay,With
Roberts,160000,R,KS,Nay,With
Rounds,31600,R,SD,Nay,With
Rubio,114070,R,FL,Nay,With
Sanders,116284,D,VT,Yea,Against
Sasse,40100,R,NE,Nay,With
Schatz,9500,D,HI,Yea,Against
Schumer,162750,D,NY,Yea,Against
Scott,211900,R,SC,Nay,With
Shaheen,19700,D,NH,Yea,Against
Shelby,17000,R,AL,Nay,With
Stabenow,40200,D,MI,Yea,Against
Sullivan,6200,R,AK,Nay,With
Tester,77250,D,MT,Nay,With
Thune,76100,R,SD,Yea,Against
Tillis,45150,R,NC,Nay,With
Toomey,250646,R,PA,Nay,With
Udall,12350,D,NM,Yea,Against
Van Hollen,51013,D,MD,Yea,Against
Warner,89800,D,VA,Nay,With
Warren,64296,D,MA,Yea,Against
Whitehouse,67050,D,RI,Yea,Against
Wicker,21000,R,MS,Nay,With
Wyden,177050,D,OR,Yea,Against
Young,107900,R,IN,Nay,With
