DilateDiff,Sex,Gay,SexMale
0.208041788,M,0,1
0.165694129,F,0,0
-0.260443518,M,0,1
-0.359692418,F,0,0
-0.488198507,M,1,1
-0.079313695,F,0,0
-0.03015274,M,0,1
-0.686801371,M,0,1
-0.293930386,F,0,0
0.350519672,M,1,1
-0.302067851,M,0,1
-0.039016242,M,1,1
0.144535119,M,0,1
-0.342877028,M,1,1
1.203672901,M,1,1
0.432329263,F,1,0
-0.027083894,F,1,0
0.276133088,F,0,0
-0.852867305,M,0,1
0.507588283,F,1,0
-0.131692863,F,0,0
-0.0992848,M,1,1
0.029241117,F,0,0
0.226780942,F,1,0
-0.471133492,M,0,1
0.519881017,M,1,1
0.007264614,F,1,0
0.579071255,M,1,1
0.499364754,F,0,0
-0.579841685,F,1,0
0.325152195,M,1,1
-0.164065573,M,0,1
-0.343825906,M,0,1
0.32738671,F,0,0
-1.040595949,M,0,1
-0.370941318,M,1,1
-0.254951727,M,0,1
-0.159328066,M,1,1
0.042470047,M,0,1
-0.3810191,F,0,0
-0.220012607,F,0,0
-0.136248219,F,0,0
-0.075688581,F,0,0
-0.176582688,F,0,0
-0.345347754,F,0,0
-0.492152324,F,0,0
-0.429823867,M,0,1
-0.517083641,F,0,0
-0.2338081,F,0,0
0.496207884,M,1,1
-0.700610275,F,0,0
0.653676336,M,1,1
0.406106936,M,1,1
-0.067930422,M,0,1
0.052067208,F,1,0
-0.096357545,F,1,0
0.914797973,F,1,0
-0.180890872,F,0,0
-0.055411617,F,0,0
0.390878947,M,1,1
0.16696286,F,0,0
-0.12030965,M,1,1
0.323565857,F,1,0
-0.212506218,F,0,0
-0.030229459,M,0,1
0.003975551,F,0,0
-0.57623113,M,0,1
0.575040317,F,1,0
-0.023916307,F,0,0
-0.616353745,F,0,0
-0.494234046,F,0,0
0.068027239,F,0,0
-0.465162504,M,0,1
-0.071593231,M,1,1
-0.511150016,F,0,0
-0.447381092,F,0,0
-0.042778826,M,1,1
-0.023640671,M,0,1
0.049099643,M,1,1
0.068128608,M,1,1
0.011780771,M,1,1
-0.297056858,M,0,1
-0.144810632,M,0,1
-0.069648275,M,0,1
-0.18545877,M,1,1
0.25459764,M,0,1
-0.316489777,M,0,1
-0.056781423,M,1,1
-0.07674494,M,1,1
0.399365064,M,0,1
0.167053994,M,0,1
-0.283371441,F,0,0
-0.228317608,M,0,1
-0.295532495,F,0,0
-0.336690745,F,0,0
0.050091163,F,0,0
-0.040211721,M,0,1
-0.112660542,F,0,0
0.064766117,F,0,0
-0.009050864,F,0,0
-0.155119372,M,1,1
0.684138037,M,1,1
-0.486419955,F,0,0
0.025086247,F,0,0
-1.001986341,M,0,1
0.071492118,M,0,1
