Card,Tip,Ad,Joke,None
None,1,0,0,1
Joke,1,0,1,0
Ad,0,1,0,0
None,0,0,0,1
None,1,0,0,1
None,0,0,0,1
Ad,0,1,0,0
Ad,0,1,0,0
None,0,0,0,1
None,0,0,0,1
None,1,0,0,1
Ad,0,1,0,0
None,0,0,0,1
Ad,1,1,0,0
Joke,1,0,1,0
Joke,0,0,1,0
Joke,1,0,1,0
None,0,0,0,1
Joke,0,0,1,0
None,0,0,0,1
Ad,1,1,0,0
Ad,1,1,0,0
Ad,0,1,0,0
Joke,0,0,1,0
Joke,1,0,1,0
Joke,0,0,1,0
None,1,0,0,1
Joke,1,0,1,0
Joke,1,0,1,0
None,1,0,0,1
Joke,0,0,1,0
None,1,0,0,1
Joke,1,0,1,0
Ad,0,1,0,0
Joke,0,0,1,0
Ad,1,1,0,0
Joke,0,0,1,0
Ad,0,1,0,0
Joke,0,0,1,0
Joke,0,0,1,0
Joke,1,0,1,0
None,0,0,0,1
None,0,0,0,1
Ad,0,1,0,0
None,0,0,0,1
None,0,0,0,1
Ad,0,1,0,0
Joke,0,0,1,0
Joke,1,0,1,0
None,1,0,0,1
None,0,0,0,1
Joke,1,0,1,0
Joke,1,0,1,0
Joke,0,0,1,0
None,1,0,0,1
Ad,0,1,0,0
Joke,0,0,1,0
None,0,0,0,1
Ad,0,1,0,0
Joke,1,0,1,0
Ad,0,1,0,0
None,1,0,0,1
Joke,0,0,1,0
Ad,0,1,0,0
Joke,0,0,1,0
Ad,0,1,0,0
Ad,0,1,0,0
Ad,0,1,0,0
None,0,0,0,1
Joke,1,0,1,0
None,1,0,0,1
None,0,0,0,1
None,0,0,0,1
Joke,0,0,1,0
Ad,1,1,0,0
Ad,0,1,0,0
Ad,1,1,0,0
Joke,0,0,1,0
Joke,0,0,1,0
Ad,1,1,0,0
Ad,0,1,0,0
None,0,0,0,1
Ad,0,1,0,0
Joke,0,0,1,0
Joke,0,0,1,0
Ad,1,1,0,0
None,1,0,0,1
Joke,1,0,1,0
Ad,0,1,0,0
None,0,0,0,1
None,0,0,0,1
Joke,0,0,1,0
Joke,0,0,1,0
Ad,0,1,0,0
Ad,0,1,0,0
Ad,0,1,0,0
Joke,1,0,1,0
None,0,0,0,1
None,0,0,0,1
None,1,0,0,1
Joke,0,0,1,0
Joke,0,0,1,0
Ad,1,1,0,0
Ad,0,1,0,0
Ad,0,1,0,0
Ad,1,1,0,0
Ad,0,1,0,0
None,0,0,0,1
Ad,0,1,0,0
Joke,1,0,1,0
None,0,0,0,1
Ad,0,1,0,0
Ad,0,1,0,0
None,0,0,0,1
Ad,0,1,0,0
None,0,0,0,1
None,0,0,0,1
Ad,0,1,0,0
None,1,0,0,1
Ad,1,1,0,0
Ad,0,1,0,0
Ad,1,1,0,0
None,0,0,0,1
None,0,0,0,1
Joke,1,0,1,0
Joke,1,0,1,0
Ad,0,1,0,0
Joke,0,0,1,0
Joke,0,0,1,0
Ad,0,1,0,0
None,0,0,0,1
None,0,0,0,1
None,0,0,0,1
Joke,1,0,1,0
Ad,0,1,0,0
None,0,0,0,1
Joke,0,0,1,0
Ad,0,1,0,0
Ad,0,1,0,0
None,0,0,0,1
Joke,0,0,1,0
None,0,0,0,1
Ad,0,1,0,0
None,1,0,0,1
Joke,0,0,1,0
Ad,0,1,0,0
Ad,0,1,0,0
Ad,0,1,0,0
Joke,1,0,1,0
Ad,1,1,0,0
Joke,1,0,1,0
None,0,0,0,1
Ad,0,1,0,0
None,0,0,0,1
None,0,0,0,1
Ad,0,1,0,0
Ad,0,1,0,0
Joke,0,0,1,0
None,0,0,0,1
Joke,1,0,1,0
None,1,0,0,1
Ad,1,1,0,0
Joke,0,0,1,0
Joke,0,0,1,0
Ad,0,1,0,0
Joke,1,0,1,0
Joke,1,0,1,0
Ad,0,1,0,0
Joke,1,0,1,0
Joke,0,0,1,0
Ad,0,1,0,0
Joke,0,0,1,0
Joke,0,0,1,0
Ad,0,1,0,0
None,0,0,0,1
Joke,1,0,1,0
Ad,0,1,0,0
Joke,0,0,1,0
Joke,0,0,1,0
None,0,0,0,1
None,0,0,0,1
Ad,0,1,0,0
None,0,0,0,1
None,0,0,0,1
None,0,0,0,1
None,0,0,0,1
Ad,0,1,0,0
None,1,0,0,1
Ad,0,1,0,0
Ad,0,1,0,0
Ad,0,1,0,0
Joke,1,0,1,0
Joke,0,0,1,0
Ad,0,1,0,0
None,0,0,0,1
Joke,1,0,1,0
Joke,0,0,1,0
Joke,1,0,1,0
Ad,0,1,0,0
None,0,0,0,1
Joke,1,0,1,0
Joke,0,0,1,0
Joke,0,0,1,0
Ad,0,1,0,0
None,0,0,0,1
Ad,0,1,0,0
Ad,0,1,0,0
Joke,0,0,1,0
Ad,0,1,0,0
Joke,0,0,1,0
None,0,0,0,1
