airline,airport,OnTime,IndOHare,IndDelta
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
Delta,ORD,yes,1,1
