Date,AAPL,GOOG,MSFT,t
12/1/2015,117.34,767.04,55.22,1
12/2/2015,116.28,762.38,55.21,2
12/3/2015,115.2,752.54,54.2,3
12/4/2015,119.03,766.81,55.91,4
12/7/2015,118.28,763.25,55.81,5
12/8/2015,118.23,762.37,55.79,6
12/9/2015,115.62,751.61,54.98,7
12/10/2015,116.17,749.46,55.27,8
12/11/2015,113.18,738.87,54.06,9
12/14/2015,112.48,747.77,55.14,10
12/15/2015,110.49,743.4,55.2,11
12/16/2015,111.34,758.09,56.13,12
12/17/2015,108.98,749.43,55.7,13
12/18/2015,106.03,739.31,54.13,14
12/21/2015,107.33,747.77,54.83,15
12/22/2015,107.23,750,55.35,16
12/23/2015,108.61,750.31,55.82,17
12/24/2015,108.03,748.4,55.67,18
12/28/2015,106.82,762.51,55.95,19
12/29/2015,108.74,776.6,56.55,20
12/30/2015,107.32,771,56.31,21
12/31/2015,105.26,758.88,55.48,22
1/4/2016,105.35,741.84,54.8,23
1/5/2016,102.71,742.58,55.05,24
1/6/2016,100.7,743.62,54.05,25
1/7/2016,96.45,726.39,52.17,26
1/8/2016,96.96,714.47,52.33,27
1/11/2016,98.53,716.03,52.3,28
1/12/2016,99.96,726.07,52.78,29
1/13/2016,97.39,700.56,51.64,30
1/14/2016,99.52,714.72,53.11,31
1/15/2016,97.13,694.45,50.99,32
1/19/2016,96.66,701.79,50.56,33
1/20/2016,96.79,698.45,50.79,34
1/21/2016,96.3,706.59,50.48,35
1/22/2016,101.42,725.25,52.29,36
1/25/2016,99.44,711.67,51.79,37
1/26/2016,99.99,713.04,52.17,38
1/27/2016,93.42,699.99,51.22,39
1/28/2016,94.09,730.96,52.055,40
1/29/2016,97.34,742.95,55.09,41
2/1/2016,96.43,752,54.71,42
2/2/2016,94.48,764.65,53,43
2/3/2016,96.35,726.95,52.16,44
2/4/2016,96.6,708.01,52,45
2/5/2016,94.02,683.57,50.16,46
2/8/2016,95.01,682.74,49.41,47
2/9/2016,94.99,678.11,49.28,48
2/10/2016,94.27,684.12,49.71,49
2/11/2016,93.7,683.11,49.69,50
2/12/2016,93.99,682.4,50.5,51
2/16/2016,96.64,691,51.09,52
2/17/2016,98.12,708.4,52.42,53
2/18/2016,96.26,697.35,52.19,54
2/19/2016,96.04,700.91,51.82,55
2/22/2016,96.88,706.46,52.65,56
2/23/2016,94.69,695.85,51.18,57
2/24/2016,96.1,699.56,51.36,58
2/25/2016,96.76,705.75,52.1,59
2/26/2016,96.91,705.07,51.3,60
2/29/2016,96.69,697.77,50.88,61
3/1/2016,100.53,718.81,52.58,62
3/2/2016,100.75,718.85,52.95,63
3/3/2016,101.5,712.42,52.35,64
3/4/2016,103.01,710.89,52.03,65
3/7/2016,101.87,695.16,51.03,66
3/8/2016,101.03,693.97,51.65,67
3/9/2016,101.12,705.24,52.84,68
3/10/2016,101.17,712.82,52.05,69
3/11/2016,102.26,726.82,53.07,70
3/14/2016,102.52,730.49,53.17,71
3/15/2016,104.58,728.33,53.59,72
3/16/2016,105.97,736.09,54.35,73
3/17/2016,105.8,737.78,54.66,74
3/18/2016,105.92,737.6,53.49,75
3/21/2016,105.91,742.09,53.86,76
3/22/2016,106.72,740.75,54.07,77
3/23/2016,106.13,738.06,53.97,78
3/24/2016,105.67,735.3,54.21,79
3/28/2016,105.19,733.53,53.54,80
3/29/2016,107.68,744.77,54.71,81
3/30/2016,109.56,750.53,55.05,82
3/31/2016,108.99,744.95,55.23,83
4/1/2016,109.99,749.91,55.57,84
4/4/2016,111.12,745.29,55.43,85
4/5/2016,109.81,737.8,54.56,86
4/6/2016,110.96,745.69,55.12,87
4/7/2016,108.54,740.28,54.46,88
4/8/2016,108.66,739.15,54.42,89
4/11/2016,109.02,736.1,54.31,90
4/12/2016,110.44,743.09,54.65,91
4/13/2016,112.04,751.72,55.35,92
4/14/2016,112.1,753.2,55.36,93
4/15/2016,109.85,759,55.65,94
4/18/2016,107.48,766.61,56.46,95
4/19/2016,106.91,753.93,56.39,96
4/20/2016,107.13,752.67,55.59,97
4/21/2016,105.97,759.14,55.78,98
4/22/2016,105.68,718.77,51.78,99
4/25/2016,105.08,723.15,52.11,100
4/26/2016,104.35,708.14,51.44,101
4/27/2016,97.82,705.84,50.94,102
4/28/2016,94.83,691.02,49.9,103
4/29/2016,93.74,693.01,49.87,104
5/2/2016,93.64,698.21,50.61,105
5/3/2016,95.18,692.36,49.78,106
5/4/2016,94.19,695.7,49.87,107
5/5/2016,93.24,701.43,49.94,108
5/6/2016,92.72,711.12,50.39,109
5/9/2016,92.79,712.9,50.07,110
5/10/2016,93.42,723.18,51.02,111
5/11/2016,92.51,715.29,51.05,112
5/12/2016,90.34,713.31,51.51,113
5/13/2016,90.52,710.83,51.08,114
5/16/2016,93.88,716.49,51.83,115
5/17/2016,93.49,706.23,50.51,116
5/18/2016,94.56,706.63,50.81,117
5/19/2016,94.2,700.32,50.32,118
5/20/2016,95.22,709.74,50.62,119
5/23/2016,96.43,704.24,50.03,120
5/24/2016,97.9,720.09,51.59,121
5/25/2016,99.62,725.27,52.12,122
5/26/2016,100.41,724.12,51.89,123
5/27/2016,100.35,732.66,52.32,124
5/31/2016,99.86,735.72,53,125
6/1/2016,98.46,734.15,52.85,126
6/2/2016,97.72,730.4,52.48,127
6/3/2016,97.92,722.34,51.79,128
6/6/2016,98.63,716.55,52.13,129
6/7/2016,99.03,716.65,52.1,130
6/8/2016,98.94,728.28,52.04,131
6/9/2016,99.65,728.58,51.62,132
6/10/2016,98.83,719.41,51.48,133
6/13/2016,97.34,718.36,50.14,134
6/14/2016,97.46,718.27,49.83,135
6/15/2016,97.14,718.92,49.69,136
6/16/2016,97.55,710.36,50.39,137
6/17/2016,95.33,691.72,50.13,138
6/20/2016,95.1,693.71,50.07,139
6/21/2016,95.91,695.94,51.19,140
6/22/2016,95.55,697.46,50.99,141
6/23/2016,96.1,701.87,51.91,142
6/24/2016,93.4,675.22,49.83,143
6/27/2016,92.04,668.26,48.43,144
6/28/2016,93.59,680.04,49.44,145
6/29/2016,94.4,684.11,50.54,146
6/30/2016,95.6,692.1,51.17,147
7/1/2016,95.89,699.21,51.16,148
7/5/2016,94.99,694.49,51.17,149
7/6/2016,95.53,697.77,51.38,150
7/7/2016,95.94,695.36,51.38,151
7/8/2016,96.68,705.63,52.3,152
7/11/2016,96.98,715.09,52.59,153
7/12/2016,97.42,720.64,53.21,154
7/13/2016,96.87,716.98,53.51,155
7/14/2016,98.79,720.95,53.74,156
7/15/2016,98.78,719.85,53.7,157
7/18/2016,99.83,733.78,53.96,158
7/19/2016,99.87,736.96,53.09,159
7/20/2016,99.96,741.19,55.91,160
7/21/2016,99.43,738.63,55.8,161
7/22/2016,98.66,742.74,56.57,162
7/25/2016,97.34,739.77,56.73,163
7/26/2016,96.67,738.42,56.76,164
7/27/2016,102.95,741.77,56.19,165
7/28/2016,104.34,745.91,56.21,166
7/29/2016,104.21,768.79,56.68,167
8/1/2016,106.05,772.88,56.58,168
8/2/2016,104.48,771.07,56.58,169
8/3/2016,105.79,773.18,56.97,170
8/4/2016,105.87,771.61,57.39,171
8/5/2016,107.48,782.22,57.96,172
8/8/2016,108.37,781.76,58.06,173
8/9/2016,108.81,784.26,58.2,174
8/10/2016,108,784.68,58.02,175
8/11/2016,107.93,784.85,58.3,176
8/12/2016,108.18,783.22,57.94,177
8/15/2016,109.48,782.44,58.12,178
8/16/2016,109.38,777.14,57.44,179
8/17/2016,109.22,779.91,57.56,180
8/18/2016,109.08,777.5,57.6,181
8/19/2016,109.36,775.42,57.62,182
8/22/2016,108.51,772.15,57.67,183
8/23/2016,108.85,772.08,57.89,184
8/24/2016,108.03,769.64,57.95,185
8/25/2016,107.57,769.41,58.17,186
8/26/2016,106.94,769.54,58.03,187
8/29/2016,106.82,772.15,58.1,188
8/30/2016,106,769.09,57.89,189
8/31/2016,106.1,767.05,57.46,190
9/1/2016,106.73,768.78,57.59,191
9/2/2016,107.73,771.46,57.67,192
9/6/2016,107.7,780.08,57.61,193
9/7/2016,108.36,780.35,57.66,194
9/8/2016,105.52,775.32,57.43,195
9/9/2016,103.13,759.66,56.21,196
9/12/2016,105.44,769.02,57.05,197
9/13/2016,107.95,759.69,56.53,198
9/14/2016,111.77,762.49,56.26,199
9/15/2016,115.57,771.76,57.19,200
9/16/2016,114.92,768.88,57.25,201
9/19/2016,113.58,765.7,56.93,202
9/20/2016,113.57,771.41,56.81,203
9/21/2016,113.55,776.22,57.76,204
9/22/2016,114.62,787.21,57.82,205
9/23/2016,112.71,786.9,57.43,206
9/26/2016,112.88,774.21,56.9,207
9/27/2016,113.09,783.01,57.95,208
9/28/2016,113.95,781.56,58.03,209
9/29/2016,112.18,775.01,57.4,210
9/30/2016,113.05,777.29,57.6,211
10/3/2016,112.52,772.56,57.42,212
10/4/2016,113,776.43,57.24,213
10/5/2016,113.05,776.47,57.64,214
10/6/2016,113.89,776.86,57.74,215
10/7/2016,114.06,775.08,57.8,216
10/10/2016,116.05,785.94,58.04,217
10/11/2016,116.3,783.07,57.19,218
10/12/2016,117.34,786.14,57.11,219
10/13/2016,116.98,778.19,56.92,220
10/14/2016,117.63,778.53,57.42,221
10/17/2016,117.55,779.96,57.22,222
10/18/2016,117.47,795.26,57.66,223
10/19/2016,117.12,801.56,57.53,224
10/20/2016,117.06,796.97,57.25,225
10/21/2016,116.6,799.37,59.66,226
10/24/2016,117.65,813.11,61,227
10/25/2016,118.25,807.67,60.99,228
10/26/2016,115.59,799.07,60.63,229
10/27/2016,114.48,795.35,60.1,230
10/28/2016,113.72,795.37,59.87,231
