Province,Sex,Attitude Score,School
NAIROBI,male,118,A
NAIROBI,male,125,A
NAIROBI,male,120,A
NAIROBI,male,120,A
NAIROBI,male,120,A
NAIROBI,male,121,A
NAIROBI,male,117,A
NAIROBI,male,130,A
NAIROBI,male,122,A
NAIROBI,male,122,A
NAIROBI,male,116,A
NAIROBI,male,120,A
NAIROBI,male,121,A
NAIROBI,male,119,A
NAIROBI,male,112,A
NAIROBI,male,121,A
NAIROBI,male,122,A
NAIROBI,male,120,A
NAIROBI,male,120,A
NAIROBI,male,122,A
NAIROBI,male,120,A
NAIROBI,male,125,A
NAIROBI,male,120,A
NAIROBI,male,122,A
NAIROBI,male,119,A
NAIROBI,male,120,A
NAIROBI,male,120,A
NAIROBI,male,120,A
NAIROBI,male,119,A
NAIROBI,male,118,A
NAIROBI,male,119,A
NAIROBI,male,119,A
NAIROBI,male,120,A
NAIROBI,male,120,A
NAIROBI,male,120,A
NAIROBI,male,132,A
NAIROBI,male,122,A
NAIROBI,male,129,A
NAIROBI,male,124,A
NAIROBI,male,118,A
NAIROBI,female,138,B
NAIROBI,female,145,B
NAIROBI,female,168,B
NAIROBI,female,155,B
NAIROBI,female,156,B
NAIROBI,female,163,B
NAIROBI,female,153,B
NAIROBI,female,159,B
NAIROBI,female,147,B
NAIROBI,female,156,B
NAIROBI,female,157,B
NAIROBI,female,148,B
NAIROBI,female,155,B
NAIROBI,female,147,B
NAIROBI,female,150,B
NAIROBI,female,147,B
NAIROBI,female,157,B
NAIROBI,female,147,B
NAIROBI,female,153,B
NAIROBI,female,154,B
NAIROBI,female,140,B
NAIROBI,female,161,B
NAIROBI,female,147,B
NAIROBI,female,132,B
NAIROBI,female,153,B
NAIROBI,female,158,B
NAIROBI,female,148,B
NAIROBI,female,155,B
NAIROBI,female,159,B
NAIROBI,female,157,B
NAIROBI,female,146,B
NAIROBI,female,160,B
NAIROBI,female,159,B
NAIROBI,female,155,B
NAIROBI,female,146,B
NAIROBI,female,155,B
NAIROBI,female,151,B
NAIROBI,female,166,B
NAIROBI,female,153,B
NAIROBI,female,150,B
NAIROBI,male,118,C
NAIROBI,male,115,C
NAIROBI,male,134,C
NAIROBI,male,121,C
NAIROBI,male,130,C
NAIROBI,male,132,C
NAIROBI,male,127,C
NAIROBI,male,122,C
NAIROBI,male,133,C
NAIROBI,male,120,C
NAIROBI,male,120,C
NAIROBI,male,126,C
NAIROBI,male,121,C
NAIROBI,male,124,C
NAIROBI,male,104,C
NAIROBI,male,122,C
NAIROBI,male,109,C
NAIROBI,male,116,C
NAIROBI,male,121,C
NAIROBI,male,112,C
NAIROBI,male,120,C
NAIROBI,male,117,C
NAIROBI,male,126,C
NAIROBI,male,114,C
NAIROBI,male,128,C
NAIROBI,male,133,C
NAIROBI,male,120,C
NAIROBI,male,107,C
NAIROBI,male,132,C
NAIROBI,male,126,C
NAIROBI,male,124,C
NAIROBI,male,123,C
NAIROBI,male,127,C
NAIROBI,male,134,C
NAIROBI,male,120,C
NAIROBI,male,141,C
NAIROBI,male,123,C
NAIROBI,male,133,C
NAIROBI,male,112,C
NAIROBI,male,142,C
NAIROBI,female,141,D
NAIROBI,female,143,D
NAIROBI,female,134,D
NAIROBI,female,146,D
NAIROBI,female,136,D
NAIROBI,female,145,D
NAIROBI,female,143,D
NAIROBI,female,138,D
NAIROBI,female,148,D
NAIROBI,female,139,D
NAIROBI,female,142,D
NAIROBI,female,143,D
NAIROBI,female,138,D
NAIROBI,female,143,D
NAIROBI,female,132,D
NAIROBI,female,145,D
NAIROBI,female,136,D
NAIROBI,female,141,D
NAIROBI,female,135,D
NAIROBI,female,141,D
NAIROBI,female,143,D
NAIROBI,female,133,D
NAIROBI,female,137,D
NAIROBI,female,131,D
NAIROBI,female,134,D
NAIROBI,female,138,D
NAIROBI,female,144,D
NAIROBI,female,134,D
NAIROBI,female,136,D
NAIROBI,female,145,D
NAIROBI,female,128,D
NAIROBI,female,135,D
NAIROBI,female,141,D
NAIROBI,female,150,D
NAIROBI,female,149,D
NAIROBI,female,148,D
NAIROBI,female,158,D
NAIROBI,female,140,D
NAIROBI,female,146,D
NAIROBI,female,151,D
NAIROBI,male,145,E
NAIROBI,male,145,E
NAIROBI,male,141,E
NAIROBI,male,146,E
NAIROBI,male,155,E
NAIROBI,male,155,E
NAIROBI,male,156,E
NAIROBI,male,158,E
NAIROBI,male,146,E
NAIROBI,male,149,E
NAIROBI,male,145,E
NAIROBI,male,149,E
NAIROBI,male,146,E
NAIROBI,male,152,E
NAIROBI,male,154,E
NAIROBI,male,156,E
NAIROBI,male,150,E
NAIROBI,male,146,E
NAIROBI,male,142,E
NAIROBI,male,142,E
NAIROBI,male,153,E
NAIROBI,male,158,E
NAIROBI,male,139,E
NAIROBI,male,142,E
NAIROBI,male,146,E
NAIROBI,male,155,E
NAIROBI,male,144,E
NAIROBI,male,146,E
NAIROBI,male,153,E
NAIROBI,male,153,E
NAIROBI,male,155,E
NAIROBI,male,146,E
NAIROBI,male,140,E
NAIROBI,male,145,E
NAIROBI,male,140,E
NAIROBI,male,150,E
NAIROBI,male,151,E
NAIROBI,male,155,E
NAIROBI,male,134,E
NAIROBI,male,148,E
NAIROBI,female,133,F
NAIROBI,female,147,F
NAIROBI,female,139,F
NAIROBI,female,165,F
NAIROBI,female,148,F
NAIROBI,female,147,F
NAIROBI,female,149,F
NAIROBI,female,147,F
NAIROBI,female,152,F
NAIROBI,female,156,F
NAIROBI,female,145,F
NAIROBI,female,150,F
NAIROBI,female,147,F
NAIROBI,female,152,F
NAIROBI,female,143,F
NAIROBI,female,142,F
NAIROBI,female,143,F
NAIROBI,female,154,F
NAIROBI,female,145,F
NAIROBI,female,142,F
NAIROBI,female,142,F
NAIROBI,female,155,F
NAIROBI,female,148,F
NAIROBI,female,141,F
NAIROBI,female,147,F
NAIROBI,female,144,F
NAIROBI,female,143,F
NAIROBI,female,152,F
NAIROBI,female,148,F
NAIROBI,female,147,F
NAIROBI,female,152,F
NAIROBI,female,145,F
NAIROBI,female,147,F
NAIROBI,female,147,F
NAIROBI,female,148,F
NAIROBI,female,150,F
NAIROBI,female,155,F
NAIROBI,female,153,F
NAIROBI,female,141,F
NAIROBI,female,156,F
PWANI,female,149,G
PWANI,female,155,G
PWANI,female,154,G
PWANI,female,160,G
PWANI,female,168,G
PWANI,female,161,G
PWANI,female,160,G
PWANI,female,162,G
PWANI,female,148,G
PWANI,female,155,G
PWANI,female,156,G
PWANI,female,161,G
PWANI,female,157,G
PWANI,female,158,G
PWANI,female,149,G
PWANI,female,153,G
PWANI,female,159,G
PWANI,female,155,G
PWANI,female,161,G
PWANI,female,157,G
PWANI,female,151,G
PWANI,female,165,G
PWANI,female,158,G
PWANI,female,153,G
PWANI,female,147,G
PWANI,female,156,G
PWANI,female,151,G
PWANI,female,175,G
PWANI,female,153,G
PWANI,female,156,G
PWANI,female,152,G
PWANI,female,150,G
PWANI,female,165,G
PWANI,female,152,G
PWANI,female,161,G
PWANI,female,143,G
PWANI,female,165,G
PWANI,female,155,G
PWANI,female,162,G
PWANI,female,161,G
PWANI,male,143,H
PWANI,male,162,H
PWANI,male,146,H
PWANI,male,162,H
PWANI,male,153,H
PWANI,male,153,H
PWANI,male,164,H
PWANI,male,144,H
PWANI,male,162,H
PWANI,male,169,H
PWANI,male,151,H
PWANI,male,161,H
PWANI,male,151,H
PWANI,male,149,H
PWANI,male,157,H
PWANI,male,149,H
PWANI,male,152,H
PWANI,male,145,H
PWANI,male,144,H
PWANI,male,158,H
PWANI,male,153,H
PWANI,male,162,H
PWANI,male,161,H
PWANI,male,156,H
PWANI,male,141,H
PWANI,male,166,H
PWANI,male,157,H
PWANI,male,154,H
PWANI,male,161,H
PWANI,male,148,H
PWANI,male,161,H
PWANI,male,152,H
PWANI,male,157,H
PWANI,male,165,H
PWANI,male,156,H
PWANI,male,160,H
PWANI,male,166,H
PWANI,male,156,H
PWANI,male,155,H
PWANI,male,157,H
PWANI,female,151,I
PWANI,female,158,I
PWANI,female,165,I
PWANI,female,152,I
PWANI,female,159,I
PWANI,female,163,I
PWANI,female,155,I
PWANI,female,155,I
PWANI,female,161,I
PWANI,female,160,I
PWANI,female,165,I
PWANI,female,159,I
PWANI,female,152,I
PWANI,female,161,I
PWANI,female,156,I
PWANI,female,151,I
PWANI,female,153,I
PWANI,female,156,I
PWANI,female,155,I
