Participant,Time,Condition,Fingers,Objects,WrinkledThenNon,DryThenWet
p1,106,non-wrinkled/dry,non,dry,1,1
p2,113,non-wrinkled/dry,non,dry,2,1
p3,94,non-wrinkled/dry,non,dry,1,1
p4,96,non-wrinkled/dry,non,dry,2,1
p5,93,non-wrinkled/dry,non,dry,1,1
p6,123,non-wrinkled/dry,non,dry,2,1
p7,76,non-wrinkled/dry,non,dry,1,1
p8,92,non-wrinkled/dry,non,dry,2,1
p9,87,non-wrinkled/dry,non,dry,1,1
p10,79,non-wrinkled/dry,non,dry,2,1
p11,82,non-wrinkled/dry,non,dry,1,2
p12,104,non-wrinkled/dry,non,dry,2,2
p13,73,non-wrinkled/dry,non,dry,1,2
p14,95,non-wrinkled/dry,non,dry,2,2
p15,77,non-wrinkled/dry,non,dry,1,2
p16,92,non-wrinkled/dry,non,dry,2,2
p17,97,non-wrinkled/dry,non,dry,1,2
p18,79,non-wrinkled/dry,non,dry,2,2
p19,120,non-wrinkled/dry,non,dry,1,2
p20,88,non-wrinkled/dry,non,dry,2,2
p1,139,non-wrinkled/wet,non,wet,1,1
p2,138,non-wrinkled/wet,non,wet,2,1
p3,136,non-wrinkled/wet,non,wet,1,1
p4,101,non-wrinkled/wet,non,wet,2,1
p5,108,non-wrinkled/wet,non,wet,1,1
p6,143,non-wrinkled/wet,non,wet,2,1
p7,88,non-wrinkled/wet,non,wet,1,1
p8,109,non-wrinkled/wet,non,wet,2,1
p9,99,non-wrinkled/wet,non,wet,1,1
p10,93,non-wrinkled/wet,non,wet,2,1
p11,96,non-wrinkled/wet,non,wet,1,2
p12,156,non-wrinkled/wet,non,wet,2,2
p13,98,non-wrinkled/wet,non,wet,1,2
p14,116,non-wrinkled/wet,non,wet,2,2
p15,102,non-wrinkled/wet,non,wet,1,2
p16,117,non-wrinkled/wet,non,wet,2,2
p17,105,non-wrinkled/wet,non,wet,1,2
p18,93,non-wrinkled/wet,non,wet,2,2
p19,198,non-wrinkled/wet,non,wet,1,2
p20,123,non-wrinkled/wet,non,wet,2,2
p1,107,wrinkled/dry,wrinkled,dry,1,1
p2,97,wrinkled/dry,wrinkled,dry,2,1
p3,117,wrinkled/dry,wrinkled,dry,1,1
p4,95,wrinkled/dry,wrinkled,dry,2,1
p5,104,wrinkled/dry,wrinkled,dry,1,1
p6,108,wrinkled/dry,wrinkled,dry,2,1
p7,83,wrinkled/dry,wrinkled,dry,1,1
p8,83,wrinkled/dry,wrinkled,dry,2,1
p9,106,wrinkled/dry,wrinkled,dry,1,1
p10,72,wrinkled/dry,wrinkled,dry,2,1
p11,101,wrinkled/dry,wrinkled,dry,1,2
p12,116,wrinkled/dry,wrinkled,dry,2,2
p13,75,wrinkled/dry,wrinkled,dry,1,2
p14,86,wrinkled/dry,wrinkled,dry,2,2
p15,74,wrinkled/dry,wrinkled,dry,1,2
p16,83,wrinkled/dry,wrinkled,dry,2,2
p17,92,wrinkled/dry,wrinkled,dry,1,2
p18,73,wrinkled/dry,wrinkled,dry,2,2
p19,129,wrinkled/dry,wrinkled,dry,1,2
p20,82,wrinkled/dry,wrinkled,dry,2,2
p1,118,wrinkled/wet,wrinkled,wet,1,1
p2,106,wrinkled/wet,wrinkled,wet,2,1
p3,132,wrinkled/wet,wrinkled,wet,1,1
p4,92,wrinkled/wet,wrinkled,wet,2,1
p5,109,wrinkled/wet,wrinkled,wet,1,1
p6,115,wrinkled/wet,wrinkled,wet,2,1
p7,86,wrinkled/wet,wrinkled,wet,1,1
p8,89,wrinkled/wet,wrinkled,wet,2,1
p9,108,wrinkled/wet,wrinkled,wet,1,1
p10,85,wrinkled/wet,wrinkled,wet,2,1
p11,106,wrinkled/wet,wrinkled,wet,1,2
p12,135,wrinkled/wet,wrinkled,wet,2,2
p13,84,wrinkled/wet,wrinkled,wet,1,2
p14,93,wrinkled/wet,wrinkled,wet,2,2
p15,83,wrinkled/wet,wrinkled,wet,1,2
p16,88,wrinkled/wet,wrinkled,wet,2,2
p17,95,wrinkled/wet,wrinkled,wet,1,2
p18,78,wrinkled/wet,wrinkled,wet,2,2
p19,160,wrinkled/wet,wrinkled,wet,1,2
p20,95,wrinkled/wet,wrinkled,wet,2,2
