LifeStage,Sex,Annuli,Mass,StraightlineCL,MaxCW,PL_AnteriortoHinge,PL_HingetoPosterior,ShellHeightatHinge
Adult,Male,13,410,127,102,48,68,61
Adult,Male,19,340,113.62,93.96,44.87,67.61,55.88
Juvenile,Female,7,160,89.49,73.51,39.6,53.65,43.48
Adult,Male,16,175,127.7,101.16,54.76,84.72,61.97
Juvenile,Female,7,100,81,69,35,44,39
Adult,Unknown,17,410,127.32,101.21,56.7,81.42,64.24
Adult,Female,18,472,131,104,49,80,59
Adult,Female,20,155,122.85,99.38,51.68,74.73,64.6
Adult,Male,18,325,115,94,45,68,55
Adult,Male,40,475,137,105,52,79,63
Adult,Male,15,405,123,99,49,72,61
Adult,Male,10,175,98.6,71.6,42.26,53.3,46.67
Adult,Male,28,255,111,85,45,64,53
Adult,Female,30,345,105,89,40,66,56
Adult,Female,19,240,124.68,102.3,48.92,71.92,58.47
Adult,Female,12,425,120,88,42,99,61
Adult,Male,18,336,119,95,47,68,59
Adult,Female,20,525,128.38,106.02,52.44,79.28,63.06
Adult,Male,18,315,122,94,49,70,56
Adult,Male,17,315,123.91,99.74,48.41,69.05,55.79
Juvenile,Male,6,190,104,82,47,65,50
Adult,Female,11,202,102,78,39,59,49
Adult,Male,19,360,126,96,51,75,53
Adult,Male,14,362,122,98,50,72,57
Juvenile,Unknown,5,130,82.96,68.81,34.68,51.97,44.32
Adult,Female,13,395,117,92,46,71,60
Adult,Female,16,445,120.95,98.11,51.96,78.57,60.92
Adult,Male,30,350,122,97,50,69,54
Adult,Female,6,102,84,65,32,48,37
Adult,Male,18,410,118,98,48,72,63
Adult,Female,14,325,114,95,46,69,61
Adult,Male,20,340,125.5,98.8,52.5,74.7,55.9
Adult,Unknown,18,475,125.25,103.61,51.86,78.89,60.61
Juvenile,Male,8,100,81,66,35,48,38
Adult,Male,20,340,120.96,95.32,51.52,73.05,53.56
Adult,Male,16,380,120.2,94.85,55.98,80.14,59.13
Adult,Male,40,360,115,93,46,69,55
Adult,Male,19,309,112.3,88.3,44.5,65.2,54.6
Adult,Male,17,280,112,89,48,66,53
Adult,Male,40,390,124,98,49,72,56
Adult,Unknown,10,245,110,90,40.4,60.2,50.1
Adult,Female,18,425,124.1,99.11,49.4,72.15,61.46
Juvenile,Unknown,3,45,55,49,22,30,25
Adult,Female,18,350,117,90,45,71,60
Adult,Male,20,345,138.05,103.02,51.96,76.95,58.53
Adult,Female,20,400,118.48,99.22,47.08,73.3,57.29
Adult,Female,20,280,110.83,86.39,42.34,66.25,57.48
Adult,Male,18,250,104,85,38,62,53
Adult,Female,15,420,129.55,98.39,50.7,73.42,58.37
Adult,Female,19,230,106.6,84,43,63,56.1
Adult,Male,20,460,137.54,115.31,54.75,83.49,59.69
Adult,Male,17,380,129.77,95.68,47.37,71.38,59.12
Adult,Female,18,450,121.8,99.45,52.27,74.09,70.64
Adult,Male,10,280,109.43,94,46.5,67,51
Adult,Male,14,156,119,93,48,72,55
Adult,Male,20,415,135.14,107.97,52.06,76.19,60.45
Adult,Male,19,230,105,85,43,59,50
Adult,Male,17,395,120.85,101.03,51.95,71.82,58.2
Adult,Unknown,18,420,124,100,52,72,60
Adult,Female,20,510,126.26,100.04,51.25,77.71,69.18
Adult,Male,20,365,118.17,96.01,48.35,68.74,57.84
Adult,Female,21,455,137,106,52,79,63
Adult,Male,21,400,122,100,56,81,56
Adult,Male,15,425,132,99,51,71,56
Juvenile,Female,5,50,60.5,46.3,20.9,31.7,27.1
Adult,Female,15,282,105,83,41,67,51
Adult,Male,20,510,136.29,110.5,51.27,81.62,61.47
Adult,Male,20,328,121.02,103.97,47.94,72.96,55.89
Adult,Male,16,400,127.5,107.5,51.87,76.2,60
Adult,Male,20,335,114.56,88.01,47.75,67.95,56.07
Adult,Female,25,350,118,98,54,80,64
Adult,Female,9,147,87.12,70.05,37.71,51.92,40.86
Adult,Female,15,150,99,78,39,54,45
Adult,Male,20,375,130,101.16,49.09,72.76,57.69
Adult,Female,6,124,85,66,34,49,40
Adult,Male,20,352.5,118.35,96.25,49.28,69.83,61
Adult,Unknown,15,420,123.49,101.84,50.13,72.18,65.47
Adult,Male,17,245,129,101,49,75,56
Adult,Unknown,18,415,119.42,104.8,51.42,75.99,60.59
Adult,Male,7,155,89.38,75.29,38.14,53.51,44.76
Adult,Female,21,180,102,79,44,67,50
Adult,Female,21,387,127,99,46,84,56
Juvenile,Female,5,80,70,60,27,42,34
Adult,Female,19,350,109,96,45,69,61
Adult,Male,37,430,123,95,49,71,64
Adult,Unknown,11,400,122.48,89.77,47.96,71.35,60.25
Adult,Female,20,375,122,94,49,70,61
Adult,Female,20,345,114.38,92.41,51.96,77.12,63.37
Adult,Female,20,140,92.5,73.75,36.75,54.15,44.5
Adult,Male,30,337,121,91,47,69,55
Adult,Male,10,351,123,94,49,67,57
Adult,Male,13,168,116,92,46,68,58
Adult,Female,12,485,129.2,104.82,52.59,79.27,65.09
Juvenile,Unknown,2,55,66.1,53.11,26.63,36.51,30.44
Adult,Male,11,250,126.3,104.3,51.8,76.6,64
Adult,Male,22,400,125.77,101.6,51.13,71.43,58.23
Adult,Female,40,350,114,96,47,69,64
Juvenile,Male,34,200,96,79,39,59,45
Adult,Unknown,17,352,119.59,97.78,47.2,76.02,57.59
Adult,Male,20,290,110.6,91.5,45.4,69.2,54
Adult,Female,20,140,92.5,73.75,36.75,54.15,44.5
Adult,Male,30,330,118,91,46,68,55
Juvenile,Female,6,240,106.86,81.8,44.05,59.83,49.3
Adult,Female,26,405,130,99,50,75,59
Adult,Male,24,202,102,80,40,58,47
Adult,Male,24,370,136,103,50,75,59
Juvenile,Unknown,4,95,75.85,62.17,29.65,45.64,36.14
Adult,Male,16,265,106.73,91.5,46.86,70.48,52.82
Adult,Male,18,425,128.86,100.68,52.11,72.65,58.03
Adult,Female,21,442,121,99,50,74,64
Adult,Female,10,245,106,85,45,61,49
Adult,Female,19,405,123.1,101.54,47.69,75.91,59.01
Juvenile,Male,5,118,82.35,69.38,34.81,47.56,39.06
Adult,Male,24,270,110,89,44,62,52
Adult,Male,18,410,130.7,101.79,49.57,74.29,57.56
Adult,Unknown,20,343,117,94.5,46.6,69.5,60
Adult,Male,16,430,123,100,49,71,60
Adult,Female,9,165,89.86,75.6,37.5,55.02,43.8
Adult,Male,15,280,114,83,54,68,46
Adult,Female,16,140,83,66,38,52,39
Adult,Male,14,412,134.13,104.27,51.04,85.44,59.59
Adult,Male,16,415,122.75,99.32,47.25,72.52,54.31
Adult,Male,20,245,101.87,86.45,40.5,63.72,50.6
Adult,Female,19,425,121.03,103.98,47.57,76.95,64.79
Adult,Male,34,240,105,86,40,59,49
Adult,Male,20,330,112.4,85.35,46.16,71.26,54.67
Adult,Female,11,360,121.82,96.22,44.76,69.59,56.56
Adult,Female,22,315,111.69,87.07,41.81,65.37,58.65
Adult,Female,20,427,115.64,98.44,46.86,71.01,62.31
Adult,Male,13,335,121,95,46,74,53
Adult,Female,17,390,120.52,100.19,47.58,74.78,57.65
Adult,Male,16,380,121.7,100,51.43,73.06,58.06
Adult,Male,24,320,121,95,49,67,53
Adult,Male,11,92,76.4,65.76,32.03,43.4,37.1
Adult,Male,14,430,126.23,102.98,51.41,72.21,58.76
Adult,Male,20,320,117,93,48,68,57
Adult,Male,25,324,120,94.43,46.34,68.79,55.15
Adult,Male,20,225,110.8,89.93,44.6,63.3,49.4
Adult,Female,14,435,126.97,100.73,51.04,79.39,64.3
Adult,Male,33,295,111,90,44,67,53
Adult,Male,15,352,116.11,92.86,48.89,70.76,60.48
Adult,Male,17,375,131,96,52,73,52
Adult,Female,11,230,106.79,84.84,41.05,62.6,49.4
Adult,Female,12,290,108,90,43,63,53
Adult,Unknown,25,283,110.41,100.59,46.99,69.53,60.5
Juvenile,Unknown,2,25,51.41,45.19,18.86,28.19,22.49
Adult,Female,20,385,128.03,99.63,51.4,72.54,57.75
Adult,Male,25,190,103,81,41,59,48
Adult,Male,20,435,130.03,103.66,53.4,79.12,64.08
Adult,Female,16,305,109.49,89.66,41.98,62.68,53.35
Adult,Male,15,375,120,97,49,72,56
Adult,Female,20,335,105.97,89.51,42.21,67.12,58.99
Adult,Male,17,250,111,88,47,66,53
Adult,Male,20,360,122.87,104.25,51.7,69.4,55.39
Adult,Male,16,435,125,102,51,80,60
Adult,Male,30,460,119,104,48,75,67
Adult,Male,14,310,123.98,101.62,49.86,70.52,56.69
Adult,Female,15,420,122.5,99.7,48.79,71.24,62.31
Adult,Male,14,6,64,55,28,38,32
Adult,Male,20,411,127.3,103.11,50.86,72.71,61.26
Adult,Male,24,407,136,104,57,77,58
Adult,Male,15,350,130,99,49,70,61
Adult,Female,12,250,116.69,89.07,46.84,64.11,52.29
Adult,Female,20,280,110,86,42,65,56
Adult,Male,11,375,125.58,98.8,50.33,70.01,57.97
Hatchling,Female,24,90,79,60,32,43,40
Adult,Male,17,420,126,105,50,77,63
Adult,Male,20,405,123.2,97.6,49.6,73.2,58.2
Adult,Male,17,395,126.84,98.72,52.47,73.14,59.32
Adult,Unknown,14,270,113.21,88.95,45.52,66.01,51.79
Adult,Male,15,290,114,96,45,69,49
Adult,Male,12,395,125.69,100.32,54.28,71.36,57.15
Juvenile,Male,7,135,92,21,34,52,43
Adult,Male,16,335,145.84,118.68,69.2,92.92,76.73
Adult,Unknown,16,390,114,100,48,71,63
Adult,Male,21,365,122.01,100.08,46.48,72.05,62.52
Adult,Unknown,15,220,104,85.58,41.23,61.61,54.8
Adult,Female,17,455,123,98,50,75,63
Adult,Female,20,410,119.43,107.36,51.18,73.38,59.49
Adult,Female,20,405,115.01,93.91,47.42,72.8,60.82
Adult,Male,12,456,141,104,54,75,66
Adult,Female,16,395,124.28,103.41,49.98,73.31,59.87
Adult,Female,14,332,107,90,44,68,58
Adult,Female,16,390,117.72,97.81,47.81,72.11,58.56
Adult,Female,40,295,109,85,44,64,61
Adult,Female,33,380,117,93,47,67,60
Adult,Male,13,355,117.32,98.17,50.52,70.02,55.08
Adult,Female,18,455,138.73,100.15,53.85,80.86,67.56
Adult,Female,18,455,125.08,102.2,47.18,77.38,64.58
Adult,Male,30,380,119,95,45,73,56
Adult,Unknown,17,400,123.54,104.8,47.78,71.66,58.72
Adult,Male,15,385,136,106,54,74,60
Adult,Male,23,325,120,91,49,76,53
Adult,Female,19,435,124,98,46,77,62
Adult,Male,24,270,111,89,44,62,53
Adult,Female,19,350,109,96,45,69,61
Adult,Female,20,372,114.61,98.06,50.92,70.12,57.71
Adult,Female,9,248,102.93,85.08,43.31,61.09,48.76
Adult,Male,18,356,118,95,45,72,54
Adult,Female,22,355,119.62,92.85,47.82,74.78,61.23
Adult,Male,20,375,127.5,100,48,74.15,57.5
Adult,Male,17,382,122,95,48,72,59
Adult,Female,20,150,83,67,35,50,45
Adult,Female,9,130,89.41,68.2,36.3,48.73,43.73
Adult,Male,15,365,121,98,50,69,55
