"Item_Number","Set_Name","Theme","Pieces","Price","Amazon_Price","Year","Ages","Pages","Minifigures","Packaging","Weight","Unique_Pieces","Availability","Size"
41386,"Stephanie's Summer Heart Box","Friends",95,7.99,7.71,2019,"Ages_6+",40,1,"Other",NA,52,"Retail","Small"
41388,"Mia's Summer Heart Box","Friends",85,7.99,7.99,2019,"Ages_6+",36,1,"Other",NA,41,"Retail","Small"
41387,"Olivia's Summer Heart Box","Friends",93,7.99,7.99,2019,"Ages_6+",40,2,"Other",NA,48,"Retail","Small"
41360,"Emma's Mobile Veterinary Clinic","Friends",50,9.99,8.99,2019,"Ages_4+",28,1,NA,"0.1Kg (0.22 lb)",35,NA,"Small"
41389,"Ice Cream Cart","Friends",97,9.99,8.99,2020,"Ages_6+",40,1,"Box",NA,60,"Retail","Small"
41396,"Puppy Playground","Friends",57,9.99,8.99,2020,"Ages_4+",40,1,"Box",NA,41,"Retail","Small"
41425,"Olivia's Flower Garden","Friends",92,9.99,9.49,2020,"Ages_6+",48,2,"Box",NA,61,"Retail","Small"
76141,"Thanos Mech","Marvel",152,9.99,9.84,2020,"Ages_6+",56,1,"Box",NA,62,"Retail","Small"
76140,"Iron Man Mech","Marvel",148,9.99,9.84,2020,"Ages_6+",64,1,"Box",NA,61,"Retail","Small"
76146,"Spider-Man Mech","Marvel",152,9.99,9.84,2020,"Ages_6+",68,1,"Box",NA,62,"Retail","Small"
76089,"Mighty Micros: Scarlet Spider vs. Sandman","Marvel",89,9.99,9.99,2018,"Ages_5-12",7,2,"Box",NA,49,"Retail","Small"
41357,"Olivia's Heart Box","Friends",85,7.99,12.89,2019,"Ages_6+",32,2,NA,"0.14Kg (0.31 lb)",38,NA,"Small"
41385,"Emma's Summer Heart Box","Friends",86,7.99,14.67,2019,"Ages_6+",36,1,"Other",NA,45,"Retail","Small"
41356,"Stephanie's Heart Box","Friends",85,7.99,14.99,2019,"Ages_6+",32,1,NA,"0.13Kg (0.29 lb)",36,NA,"Small"
41384,"Andrea's Summer Heart Box","Friends",83,7.99,14.99,2019,"Ages_6+",36,1,"Other",NA,46,"Retail","Small"
41408,"Mia's Play Cube - Cinema","Friends",37,9.99,15.32,2020,"Ages_6+",5,1,"Box",NA,31,"Retail","Small"
76147,"Vulture's Trucker Robbery","Marvel",93,19.99,15.99,2020,"Ages_4+",48,3,"Box",NA,62,"Retail","Small"
76123,"Captain America: Outriders Attack","Marvel",167,19.99,15.99,2019,"Ages_6+",52,3,"Box",NA,75,"Retail","Small"
41361,"Mia's Foal Stable","Friends",118,19.99,15.99,2019,"Ages_4+",64,1,NA,"0.29Kg (0.64 lb)",66,NA,"Small"
76142,"Avengers Speeder Bike Attack","Marvel",226,19.99,15.99,2020,"Ages_6+",104,3,"Box",NA,97,"Retail","Small"
41409,"Emma's Play Cube - Toy Store","Friends",49,9.99,16.86,2020,"Ages_6+",5,1,"Box",NA,42,"Retail","Small"
41354,"Andrea's Heart Box","Friends",84,7.99,16.95,2019,"Ages_6+",32,1,NA,"0.14Kg (0.31 lb)",38,NA,"Small"
41355,"Emma's Heart Box","Friends",85,7.99,17.81,2019,"Ages_6+",32,1,NA,"0.14Kg (0.31 lb)",38,NA,"Small"
41402,"Olivia's Play Cube - Researcher","Friends",40,9.99,17.97,2020,"Ages_6+",5,1,"Box",NA,34,"Retail","Small"
41403,"Mia's Play Cube - Veterinarian","Friends",40,9.99,17.97,2020,"Ages_6+",5,1,"Box",NA,32,"Retail","Small"
